t,RIIp_Sp8_Br_cAMPS_2_Obs,AC_Fsk_Obs,Compound_1_Obs
0,6.93414795768445e-05,0.54770318416903,-0.00739844112768906
5,NaN,NaN,0.240304822194616
6.5,0.00136271880259523,NaN,NaN
9,NaN,0.204608970273698,NaN
10,NaN,NaN,0.288815993493589
15,0.00115763063680032,NaN,0.253589137057876
20,0.00109829015922661,0.568324172428865,NaN
25,NaN,NaN,0.137243435167822
30,0.000650905098624741,0.142717061640962,0.180992530873878
40,0.00154568404010908,-0.176334817591132,0.148443679263498
50,0.000911327106726821,0.143331479208248,0.268420856688606
65,NaN,0.299321469604361,NaN
80,NaN,0.337857393288787,NaN
100,NaN,-0.329446850043509,NaN
150,NaN,0.628762028126881,NaN
