t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,0.557015863495183,1.14175499834608,1.60305528843414
45,11.6980364617885,NaN,17.2097994931905,NaN
50,NaN,NaN,NaN,0.591028910393876
70,NaN,1.24851456725298,NaN,NaN
90,13.5184744637087,NaN,NaN,NaN
95,NaN,NaN,15.9870999645091,NaN
100,NaN,NaN,NaN,1.14379287881852
150,13.8215267194226,1.18140613307906,2.87265381009493,0.293507772079748
200,10.6229587973991,2.35145094453713,4.01692807219192,0.83396693902183
250,4.86565727697039,NaN,7.10137745779704,NaN
300,3.91343092236218,2.15699263606223,NaN,0.442514696660397
350,2.05022718568299,NaN,9.25937742563581,0.644973918067854
400,NaN,0.89728122156928,6.81076095504805,NaN
450,2.20738753972915,NaN,NaN,0.86735921663464
500,NaN,1.65604058275312,4.31663081649945,NaN
550,0.314053520681483,NaN,NaN,0.643648595264742
600,NaN,0.981768346310482,2.2945783758926,NaN
650,0.29475110794435,NaN,NaN,0.724303729734961
750,NaN,1.64537875678658,3.2383100378804,NaN
800,0.0896167433139248,NaN,NaN,1.2259603376407
900,NaN,NaN,1.49211419262942,NaN
950,NaN,1.01515719703237,NaN,NaN
1000,NaN,3.49418261374947,NaN,NaN
1500,NaN,0.746672413594738,NaN,NaN
