t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,0.640670252866909,0.862672298781192,0.416603520052058
10,0,0.892385986803095,NaN,0.888514599245414
15,NaN,NaN,0.605087218313733,NaN
20,0,NaN,NaN,NaN
25,NaN,1.6778676107858,NaN,0.733239313715577
30,NaN,NaN,1.95921314767184,NaN
35,0,3.40270349316896,NaN,NaN
40,NaN,NaN,NaN,1.85310946174143
50,0,0.891466762767851,0.835156793524513,NaN
55,NaN,NaN,NaN,1.28751207684263
65,0,NaN,1.08546006076543,NaN
70,NaN,1.38540656167486,NaN,0.48479393383228
85,0,1.47419244604719,NaN,NaN
90,NaN,NaN,1.76947516566575,1.45192495034265
100,NaN,NaN,1.04093570229564,NaN
