t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,1.44586042916495,1.0974460297857,0.758748450458039
50,10.5326218547785,NaN,10.9794038274733,0.345355180470256
75,NaN,2.07966520425664,NaN,NaN
100,18.6457020975183,NaN,16.7272915672268,0.630014185328931
150,24.9090258978106,1.7283114013762,8.90635671662759,0.918631548335371
200,5.03163785211965,NaN,13.2614826405994,0.852951294845194
250,5.20380441307632,4.45843538026675,NaN,1.23568200785639
300,NaN,2.98911663445042,21.6802355208735,NaN
350,2.25352040078279,NaN,3.81706707506434,0.523850886766344
400,2.04967087267689,1.71745630800829,NaN,0.818559978330631
450,NaN,NaN,14.2997649529379,NaN
500,2.71146883889344,2.70270007704977,NaN,1.11577674752522
600,1.44704610196506,NaN,4.99153016904978,0.446553697534223
650,NaN,3.87403854608928,NaN,NaN
700,0.182793736383504,NaN,NaN,1.68801140132789
750,NaN,NaN,2.26975540977587,NaN
800,NaN,3.18431844635582,NaN,NaN
850,0.0740099962993002,NaN,NaN,1.25214568479073
950,NaN,4.44989152611413,NaN,NaN
1000,0.0145711163448318,2.79953280345921,NaN,NaN
1500,NaN,2.68097573289953,NaN,NaN
