t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,1.95826879068765,1.12493415208172,0.553138796142648
40,NaN,NaN,7.1723323775503,NaN
45,19.5350274801129,NaN,NaN,NaN
50,NaN,NaN,NaN,1.90148409469797
65,NaN,0.860359269872636,NaN,NaN
80,NaN,NaN,16.5167818804035,NaN
90,41.68807536125,NaN,NaN,NaN
100,NaN,NaN,9.47917801125734,0.99191678898809
150,15.8370028742979,0.610366417097969,13.1519252539961,0.701893872913688
200,12.9668598221236,3.18781285222941,9.75333557654662,0.996043071456345
250,10.0281378627905,1.63390605698482,8.58091429299366,0.53319925193219
300,7.48992996717223,NaN,NaN,NaN
350,NaN,4.11931930744248,10.3906720233417,0.29909425169167
400,3.52350332746831,NaN,2.47907022957634,1.3698501381396
450,2.5435234465102,2.51319670375037,NaN,NaN
500,NaN,NaN,4.01575514585641,1.3521871445257
550,0.562743010982698,12.1876958516065,3.58909157538261,NaN
600,NaN,NaN,NaN,0.68731701888021
650,0.264786699462052,NaN,2.06174777093723,NaN
700,NaN,2.36384841568003,NaN,2.15933357490834
750,0.205348103007915,NaN,NaN,NaN
800,NaN,4.72591687317522,2.7707813228697,NaN
850,NaN,NaN,NaN,1.18492617062438
900,0.0676390041533059,NaN,NaN,NaN
950,NaN,NaN,1.68408649033628,NaN
1000,NaN,1.33835867418729,NaN,NaN
1500,NaN,1.53870868567738,NaN,NaN
