t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,0.649888229540737,0.728417360424353,2.10751751070885
10,0,0.768267060173019,0.634023775438117,1.56113693922343
20,NaN,NaN,0.734634006888637,NaN
25,0,2.24373581469579,NaN,2.18063060245379
35,0,0.393573702579783,0.669500807110577,NaN
40,NaN,NaN,NaN,0.652029602216939
50,0,0.67780867449951,0.902436787623057,NaN
55,NaN,NaN,NaN,0.367701513206848
65,NaN,NaN,0.737816051817388,NaN
70,0,0.639084162066973,NaN,1.06168416218096
85,0,0.892642319012959,0.835937084714224,NaN
95,NaN,NaN,NaN,0.563377790240676
