t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,2.14496927094286,2.17564710337168,2.58366102094584
10,0,1.81061022742027,0.826066407695738,0.712862501727943
20,NaN,NaN,NaN,1.61008675445034
25,0,1.06222086450523,1.0450875638774,NaN
35,0,1.4707572120634,NaN,1.20385401137439
40,NaN,NaN,0.931856804458167,NaN
50,0,1.65312556325726,NaN,1.75409060931629
55,NaN,NaN,1.10576152600487,NaN
65,NaN,NaN,NaN,1.60351198651211
70,0,0.757354258873157,0.799269151167193,NaN
80,NaN,NaN,NaN,0.771581647855862
85,NaN,0.565322877566333,NaN,NaN
90,0,NaN,NaN,NaN
95,NaN,NaN,1.11065941425356,NaN
