t,pS2_Obs,geneD_Obs,geneE_Obs,geneJ_Obs
0,0,0.82890891382611,0.638008732387041,1.11757374361137
10,0,0.93206750704863,1.31357251976006,1.64644618970425
20,0,NaN,NaN,NaN
25,NaN,0.804953241560214,0.620802035552411,1.62055272158675
35,0,0.995919015558783,NaN,0.959302165674066
40,NaN,NaN,0.734209467199948,NaN
50,0,0.733357405525278,NaN,0.898679778354431
55,NaN,NaN,0.434955978919447,NaN
65,0,1.07452808566776,NaN,NaN
70,NaN,NaN,1.52410946538122,0.951989214341079
85,0,0.583037045955591,NaN,NaN
90,NaN,NaN,1.8828029181382,0.924243326794752
