t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-0.000276130642482735,1.03214206720254,-1.37707363230897e-10,-0.0118729089696847,-0.0257239776818759,-0.0326960344695764
0.1,NaN,0.246717515400925,NaN,NaN,NaN,NaN
0.2,NaN,0.0416621348394206,NaN,NaN,0.700124685408301,NaN
0.25,0.023622065084807,NaN,NaN,NaN,NaN,NaN
0.3,NaN,0.00664990393806274,NaN,NaN,NaN,NaN
0.35,NaN,NaN,NaN,0.0836175739506602,NaN,NaN
0.4,NaN,NaN,NaN,NaN,0.685105912904801,0.20825902733262
0.45,NaN,0.0124830452965858,NaN,NaN,NaN,NaN
0.5,0.020164233798244,NaN,NaN,NaN,NaN,NaN
0.6,NaN,-0.0193094193822481,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,NaN,0.626986097050454,NaN
0.7,NaN,NaN,NaN,0.0790321214709823,NaN,NaN
0.75,0.0185073266817816,NaN,NaN,NaN,NaN,NaN
0.8,NaN,0.0048523184969255,NaN,NaN,NaN,NaN
0.85,NaN,NaN,NaN,NaN,0.626258569877305,0.334223236291009
1,0.0168297488425965,-0.0141727565470736,NaN,0.0958646855725164,0.592877802376572,NaN
1.5,0.0126115392457255,NaN,NaN,0.105043063701182,0.48462860389578,0.306267019967821
2,0.0122145553821513,NaN,1.16135735528281e-08,0.0871264491552368,0.578402630117579,0.371646255628495
2.5,0.0124056839976414,NaN,NaN,0.0919126279283834,0.518178871288121,0.43680186971946
3,NaN,NaN,NaN,0.0753301650752684,0.437795848269842,NaN
3.5,0.0180104165416773,NaN,2.86112458861682e-09,NaN,NaN,0.459803104761272
4,0.0151104575407181,NaN,NaN,NaN,0.556711496384504,NaN
6,NaN,NaN,4.72577659515565e-10,NaN,NaN,NaN
8,NaN,NaN,1.95612694797648e-10,NaN,NaN,NaN
10,NaN,NaN,-2.9996899333266e-10,NaN,NaN,NaN
15,NaN,NaN,-1.14762662555612e-10,NaN,NaN,NaN
20,NaN,NaN,9.73300652367271e-11,NaN,NaN,NaN
