t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,-7.59488474917696e-05,1.04487799257193,-2.48888019022865e-10,5.20688456840419e-05,-0.0800733414416829,-0.0486016272692043
0.095,NaN,0.254804561618401,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN,0.0115660980773306
0.2,NaN,0.096060199905113,NaN,NaN,NaN,NaN
0.25,0.000809960021041794,NaN,NaN,0.00155882313896489,0.796921272340451,NaN
0.3,NaN,0.0429007405613305,NaN,NaN,NaN,NaN
0.35,NaN,NaN,NaN,NaN,NaN,0.337382486815866
0.4,NaN,0.00110174035071284,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,0.00283973717520489,0.61460132402252,NaN
0.5,0.000528828442744061,NaN,NaN,NaN,NaN,0.387828484062975
0.55,NaN,0.0246331683514457,NaN,NaN,NaN,NaN
0.7,NaN,-0.00948219986116349,NaN,0.00305396844399156,0.563944629017209,0.517454362120933
0.75,0.000496316783942699,NaN,NaN,NaN,NaN,NaN
0.9,NaN,0.00529636346997905,NaN,NaN,NaN,0.65104423035974
1,0.000397305912598141,NaN,NaN,0.00262060826951112,0.576682922110862,0.528956561484981
1.5,0.000439286842297393,NaN,2.0729018821447e-08,0.00276218802608613,0.389519226656958,0.548524508018548
2,0.000450566672096635,NaN,NaN,0.00263372969283448,0.366903039613212,0.592042145159435
2.5,0.000400001091553153,NaN,NaN,0.00259926278251754,0.37992483802757,0.607639866083309
3,0.000425920077022844,NaN,4.11160213006018e-09,0.00266343062432802,0.393015602930523,0.601629562952138
3.5,0.000511880134670421,NaN,NaN,NaN,0.338962329194718,NaN
4.5,0.000443471700218784,NaN,NaN,NaN,0.445522023486025,NaN
5,NaN,NaN,6.85081931359453e-10,NaN,NaN,NaN
7,NaN,NaN,-5.54959256392612e-11,NaN,NaN,NaN
9,NaN,NaN,-6.12653888181706e-10,NaN,NaN,NaN
10,NaN,NaN,5.80143403840178e-10,NaN,NaN,NaN
15,NaN,NaN,-3.15482827474801e-10,NaN,NaN,NaN
20,NaN,NaN,-5.53482028326583e-11,NaN,NaN,NaN
