t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.0017982307038492,1.05506340910856,-2.42306797266428e-10,-0.00269363002037345,-0.0498205292503854,0.00617596248107197
0.085,NaN,0.569368915587281,NaN,NaN,NaN,NaN
0.2,NaN,0.187854165726902,NaN,NaN,NaN,NaN
0.3,NaN,0.0972965269208619,NaN,NaN,0.72878816078058,0.146958697885367
0.4,0.0212334727473564,0.0159761284262741,NaN,0.0740616911687644,NaN,NaN
0.55,NaN,0.00976304893142041,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,NaN,NaN,0.213003227267102
0.65,NaN,NaN,NaN,NaN,0.614805285346883,NaN
0.7,NaN,-0.022130761108055,NaN,NaN,NaN,NaN
0.85,0.0174667050646826,-0.016566128525513,NaN,0.115769993329931,NaN,NaN
0.9,NaN,NaN,NaN,NaN,NaN,0.38828858992717
1,NaN,NaN,NaN,NaN,0.566924645662034,0.346167201735319
1.5,0.0186543631013907,NaN,NaN,0.0982773266837357,0.549746738567423,0.32898127804391
2,0.0156621273983361,NaN,NaN,0.0839456510022197,0.602319591488989,0.393145901870036
2.5,0.0178336561293876,NaN,NaN,0.102260345291579,0.544952771022272,0.365036731041756
3,0.0171435459976192,NaN,NaN,NaN,0.465049683663506,0.400279801998693
3.5,0.0144611530695375,NaN,4.84743684418157e-09,0.100462643684939,NaN,0.392343506658129
4.5,NaN,NaN,NaN,NaN,NaN,0.343564524922025
5,NaN,NaN,NaN,NaN,NaN,0.406356419461351
7,NaN,NaN,1.58568877406806e-11,NaN,NaN,NaN
10,NaN,NaN,-6.44578059900011e-11,NaN,NaN,NaN
15,NaN,NaN,4.95619649692498e-11,NaN,NaN,NaN
