t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00898542867099237,1.00165510210745,7.10016058192456e-11,0.0311415825384825,0.0325097634796342,-0.00742298443823992
0.085,NaN,0.210118695079388,NaN,NaN,NaN,NaN
0.15,NaN,0.0820535257475606,NaN,NaN,NaN,NaN
0.25,NaN,0.0162221054771372,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,0.33821021494372,0.496386309585957,NaN
0.35,0.102157333631103,0.0134546648011366,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,0.0635053909786833
0.5,NaN,-0.014944814242353,NaN,NaN,NaN,NaN
0.6,NaN,-0.0108040230419532,NaN,NaN,0.398900941640459,NaN
0.65,NaN,NaN,NaN,0.348994628242612,NaN,NaN
0.7,0.0950245764746258,NaN,NaN,NaN,NaN,NaN
0.75,NaN,-0.00473893617919085,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,NaN,0.0931486417214099
0.9,NaN,NaN,NaN,NaN,0.409718833786849,NaN
0.95,NaN,-0.00425437778435115,NaN,NaN,NaN,NaN
1,0.0733318992761969,NaN,NaN,0.414287705852505,0.472542345576791,0.0985270817315434
1.5,0.0749212034566578,NaN,1.63288362029238e-08,0.44023210197879,0.410672631752673,0.105660258110291
2,0.0731762121541164,NaN,NaN,0.439536709681173,0.413118783284925,NaN
2.5,0.0898995027836778,NaN,NaN,0.412597911207229,0.392346510296982,0.109363945131234
3,0.0904457681462628,NaN,NaN,0.453401495652794,0.377323638006553,0.125199621066835
3.5,NaN,NaN,1.70990562664418e-09,NaN,0.399461505475917,0.133998296853259
4,0.0719151692943113,NaN,NaN,NaN,NaN,NaN
4.5,0.0767352761458475,NaN,NaN,NaN,0.430159380322269,NaN
5,NaN,NaN,3.38272501037259e-10,NaN,0.408284579846436,NaN
5.5,0.0588337940935982,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,3.61034458200759e-10,NaN,NaN,NaN
9,NaN,NaN,-3.8234976067145e-11,NaN,NaN,NaN
10,NaN,NaN,-1.4033871199681e-10,NaN,NaN,NaN
15,NaN,NaN,8.11506950617744e-11,NaN,NaN,NaN
20,NaN,NaN,-8.6008175989778e-11,NaN,NaN,NaN
