t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.00183919191387679,1.02831159246418,4.74720405273526e-10,-0.0208021304691059,0.015851480182307,-0.0144519353498503
0.15,NaN,0.529316995487842,NaN,NaN,NaN,NaN
0.3,NaN,0.287521682291324,NaN,NaN,NaN,NaN
0.35,NaN,NaN,NaN,NaN,0.584770652629479,NaN
0.4,NaN,NaN,NaN,NaN,NaN,0.211726024404691
0.45,0.022939223945932,0.101519413072622,NaN,NaN,NaN,NaN
0.6,NaN,0.075115523904172,NaN,NaN,NaN,NaN
0.75,NaN,NaN,NaN,NaN,0.613957705453494,NaN
0.8,NaN,NaN,NaN,NaN,NaN,0.329145690006243
0.85,NaN,0.0167253140986202,NaN,NaN,NaN,NaN
0.95,0.0178084301177697,NaN,NaN,NaN,NaN,NaN
1,NaN,0.000531700193864637,NaN,0.0974144169598391,0.546306890077074,NaN
1.5,0.0159178250934982,-0.0116222379863058,8.15604951254952e-08,NaN,0.502250535305945,0.324773538445793
2,0.0134092321456258,NaN,NaN,0.10055499224149,NaN,0.331514627462241
2.5,NaN,NaN,NaN,NaN,0.455812466447887,0.416295263398176
3,0.0171701860574872,NaN,NaN,0.102285597279686,0.482948419691413,0.424893860947476
3.5,0.0148880915850999,NaN,1.08713153079526e-08,NaN,NaN,0.345895813559701
4.5,NaN,NaN,NaN,0.0976694201387731,NaN,NaN
5,NaN,NaN,1.48089080966998e-09,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.0769364438626967,NaN,NaN
7,NaN,NaN,-1.19388296771909e-09,0.0898991526036227,NaN,NaN
8.5,NaN,NaN,NaN,0.0890883585449577,NaN,NaN
9,NaN,NaN,1.1080048981097e-09,NaN,NaN,NaN
10,NaN,NaN,-1.67709532756881e-10,0.0884168206830891,NaN,NaN
15,NaN,NaN,-1.38608584953828e-11,0.093983448286832,NaN,NaN
20,NaN,NaN,4.03857115967857e-10,0.0759346517008084,NaN,NaN
