t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,9.01774207952575e-07,1.01044803326091,7.95486173230556e-11,-1.14795157303644e-05,0.0412807640334332,0.0492408862112567
0.09,NaN,0.260598597954776,NaN,NaN,NaN,NaN
0.2,9.25713791310987e-05,0.0489928669058733,NaN,NaN,0.7651822829526,0.197508365638522
0.25,NaN,NaN,NaN,0.000194485912787102,NaN,NaN
0.3,NaN,0.0121173976031955,NaN,NaN,NaN,NaN
0.35,7.03787556211454e-05,NaN,NaN,NaN,NaN,NaN
0.4,NaN,0.0161288310969535,NaN,NaN,0.595368305626739,0.315848993941515
0.55,5.81427725265455e-05,-0.0019892619946564,NaN,0.000258139822568695,NaN,NaN
0.6,NaN,NaN,NaN,NaN,0.571014715411513,0.448145613704246
0.7,NaN,0.00454828863996588,NaN,NaN,NaN,NaN
0.75,4.65112734047823e-05,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,0.474160986111827,NaN
0.85,NaN,0.0191897153169011,NaN,0.000259081072028326,NaN,0.476251407529408
0.95,4.33259534709405e-05,NaN,NaN,NaN,NaN,NaN
1,4.449570545173e-05,0.00573696530985853,NaN,0.000275567120523122,0.375991873475875,0.530475594538137
1.5,4.28241890817896e-05,NaN,NaN,0.000303664359915012,0.412284247523953,0.482163121253126
2,3.47421383608717e-05,NaN,1.23256217402975e-08,0.000231539557346428,0.421069718567916,0.584934849978571
2.5,3.39296827532734e-05,NaN,NaN,0.000200934524644786,0.380215293331124,0.685455356409091
3,4.40008807020834e-05,NaN,NaN,0.000258912480131572,0.335986064813559,0.562328191853999
3.5,4.20925494993713e-05,NaN,2.96032744216894e-09,NaN,0.313604500448922,NaN
4,NaN,NaN,NaN,NaN,NaN,0.599121137380263
5.5,NaN,NaN,3.41108769692322e-10,NaN,NaN,NaN
8,NaN,NaN,1.09061397711448e-10,NaN,NaN,NaN
10,NaN,NaN,1.4071726077868e-10,NaN,NaN,NaN
15,NaN,NaN,-4.82731139387081e-11,NaN,NaN,NaN
20,NaN,NaN,4.36620967501667e-11,NaN,NaN,NaN
