t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.000489462854020869,0.980967836300041,-1.22063185769102e-10,-0.00144254035089,-0.0202207094792312,0.0107860723633203
0.095,NaN,0.243097301106004,NaN,NaN,NaN,NaN
0.2,NaN,0.0937620137237719,NaN,NaN,NaN,0.129157145291884
0.25,NaN,NaN,NaN,0.0104373256318154,0.709057106781803,NaN
0.3,0.0059294642211923,0.0318571656709535,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,0.3122314357494
0.45,NaN,0.00950862996019965,NaN,0.0195694413023815,NaN,NaN
0.5,NaN,NaN,NaN,NaN,0.596653038240161,NaN
0.55,NaN,-0.00184676407640699,NaN,NaN,NaN,NaN
0.6,0.00481625360195593,NaN,NaN,NaN,NaN,0.363168095115611
0.7,NaN,NaN,NaN,0.0257224696136402,NaN,NaN
0.75,NaN,0.0150069775264528,NaN,NaN,0.660889967636153,NaN
0.8,NaN,NaN,NaN,NaN,NaN,0.383234675755785
0.9,0.00418109372228222,NaN,NaN,NaN,NaN,NaN
0.95,NaN,-0.0192256688210472,NaN,NaN,NaN,NaN
1,0.00427260154138064,NaN,NaN,0.0221351335905508,0.520439314915421,0.53114886285969
1.5,0.00345557459469028,NaN,2.10194309176146e-08,0.0181461469879692,0.474796379448923,0.568735042337599
2,0.00376478461569575,NaN,NaN,0.0193713762706546,0.448726277128963,0.505913599769093
2.5,0.00352399797172233,NaN,NaN,NaN,0.349870707808943,0.508057808975892
3,0.00286472414917591,NaN,3.63365715771602e-09,NaN,NaN,0.559980136252167
3.5,NaN,NaN,NaN,NaN,0.452255432972226,0.444350205137559
4,0.00381470388886605,NaN,NaN,NaN,0.424044901265558,NaN
4.5,0.0039645708300628,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,6.82036151493515e-10,NaN,NaN,NaN
7,NaN,NaN,1.78626245781226e-10,NaN,NaN,NaN
9,NaN,NaN,4.78382779101077e-12,NaN,NaN,NaN
10,NaN,NaN,6.93198482392435e-10,NaN,NaN,NaN
15,NaN,NaN,1.01342685668967e-10,NaN,NaN,NaN
20,NaN,NaN,-2.91482252991099e-10,NaN,NaN,NaN
