t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.000565310843246001,1.02590486708857,1.22788304212927e-11,-0.00813966347690465,0.0765767248949429,-0.0176341848199193
0.09,NaN,0.223309549608074,NaN,NaN,NaN,NaN
0.2,NaN,0.039912251941319,NaN,NaN,NaN,NaN
0.3,NaN,0.0244447937779805,NaN,NaN,NaN,NaN
0.35,0.0586420264111373,NaN,NaN,0.208829221570923,NaN,0.121836622799449
0.4,NaN,0.00306761835413576,NaN,NaN,0.634885235049352,NaN
0.55,NaN,0.00533085288513876,NaN,NaN,NaN,NaN
0.7,NaN,0.0285715592004457,NaN,NaN,NaN,NaN
0.75,0.0564836388130138,NaN,NaN,0.246088130362033,NaN,0.185340430832263
0.8,NaN,NaN,NaN,NaN,0.510834308274304,NaN
0.9,NaN,0.00588396175218489,NaN,NaN,NaN,NaN
1,0.0487651396781855,NaN,NaN,0.271111623738303,0.517792001084382,0.244086217078478
1.5,0.048021467926667,NaN,1.89502561753555e-08,0.252160920924652,0.590828010642361,0.272290208794623
2,0.0382865827347423,NaN,NaN,0.25395817191527,NaN,0.315690291959407
2.5,0.0415059973435498,NaN,NaN,NaN,0.451233481322801,0.212742821647697
3,0.0305023247589241,NaN,3.4210112600094e-09,0.238929855965819,0.533771385295303,0.20125288088743
3.5,NaN,NaN,NaN,0.235846880446797,0.467175449130357,0.250819446838305
4,0.0393840686298876,NaN,NaN,NaN,NaN,NaN
4.5,NaN,NaN,3.59730627284804e-10,NaN,0.487918611759046,0.229023830211327
5,0.0470519271234697,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,0.242063425325827
6,0.0428049553541045,NaN,-3.29167595641665e-10,NaN,0.518521345000472,NaN
6.5,NaN,NaN,NaN,NaN,NaN,0.221390439031816
8,NaN,NaN,4.49669580569153e-10,NaN,NaN,NaN
10,NaN,NaN,2.25534312516981e-10,NaN,NaN,NaN
15,NaN,NaN,2.81150899474809e-10,NaN,NaN,NaN
20,NaN,NaN,-3.56508739117314e-10,NaN,NaN,NaN
