t,X_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs
0,100.137162102661,-11.2112024131369,146.274700770347,1213.91604933655,864.96828280639
20,NaN,NaN,NaN,78.7265889209652,NaN
25,1089.35877711682,NaN,3.2998998621528,NaN,-9.13746649762349
40,NaN,NaN,NaN,-7.95940521997829,NaN
50,588.6311396504,NaN,7.61536861002318,NaN,NaN
55,NaN,NaN,NaN,NaN,64.2493740398731
60,NaN,35.1263492103909,NaN,NaN,NaN
65,NaN,NaN,NaN,-24.1872404795869,NaN
80,140.361012126238,NaN,4.21225155392883,NaN,20.3640286541535
90,NaN,NaN,NaN,-16.6687171837003,NaN
100,804.07524110499,126.37763265303,0.765457768292335,51.2256631821997,-14.0335009248397
150,344.457904910348,NaN,-2.78162798585232,-6.81649081029567,-12.3690640804942
200,680.268037455202,95.19342763991,-1.56540647266294,-26.2610579431239,36.0389887368621
250,243.233915635016,58.8367510001676,-0.863817013811073,9.28221059885784,23.4387052163934
300,769.458977238488,82.4968813052527,4.40160566973469,-39.1599421760156,28.3006998827867
350,75.4786874483874,NaN,4.59211742768254,7.71718054811648,27.8287023278612
400,NaN,84.4836469164216,NaN,NaN,NaN
450,203.428446620501,NaN,NaN,NaN,19.0548880593638
500,NaN,84.6147388265601,NaN,NaN,NaN
600,NaN,86.5089229117265,NaN,NaN,NaN
700,NaN,87.9185832515024,NaN,NaN,NaN
850,NaN,74.677607130378,NaN,NaN,NaN
1000,NaN,56.3933678513277,NaN,NaN,NaN
1500,NaN,55.3187298059992,NaN,NaN,NaN
