t,EarlyEffector_Obs,LateEffector_Obs,Pathogen_Obs
0,0,88.9170506198704,1.07617105595594
2,50.135219304891,NaN,NaN
3,NaN,213.873792879358,NaN
3.5,NaN,NaN,3.16402851814912
4,62.4177405784229,NaN,NaN
6,224.949521376098,NaN,NaN
6.5,NaN,677.977964735665,NaN
7.5,NaN,NaN,13.5500822099238
8.5,168654.00794343,NaN,NaN
10,12193.2677719849,37694.172856975,0.0193795418321641
15,91.7956366125508,11807.0585186046,0.0102205908057508
20,1.64439068913955,5632.254412267,0.00810312136228574
25,NaN,3822.99861238228,NaN
30,NaN,NaN,0.0130482532325659
35,NaN,NaN,0.00610207860109517
45,NaN,NaN,0.00855670635857525
55,NaN,NaN,0.0106019574114221
70,NaN,NaN,0.0106874898750008
