t,IRins_Obs,IRp_Obs,IRiP_Obs,XX_Obs,XXp_Obs
0,0.0245656708695142,3.12362157103845e-09,1.48800683154137e-05,7.63883524157574,0.000397356038303781
1,NaN,NaN,NaN,NaN,0.000598070901431586
1.5,1.87863626546098,3.65889907746636e-07,NaN,NaN,NaN
2,NaN,NaN,0.000305403932515288,NaN,NaN
2.5,NaN,4.78239941053363e-07,NaN,NaN,0.0021880499533159
3,2.19228553010782,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,0.00257788137239818
4,NaN,3.57827741236289e-07,0.000203248866589412,NaN,NaN
4.5,4.67588395980413,NaN,NaN,11.6110701888817,NaN
5,NaN,NaN,NaN,NaN,0.00422054390310977
6,11.3497663369877,1.37056135264042e-06,0.000508231420928819,NaN,NaN
6.5,NaN,NaN,NaN,NaN,0.0057153614926904
7.5,6.17915339251327,1.44003868325996e-06,NaN,NaN,NaN
8.5,NaN,NaN,0.000417602663558106,NaN,0.00447629468343323
9,NaN,NaN,NaN,8.17566243815153,NaN
9.5,5.85130508554919,9.67296866323227e-07,NaN,NaN,NaN
10,7.75693032388062,9.18343067504727e-07,0.000297413150123955,NaN,0.00615265879352241
15,4.10827383576706,7.46580692262974e-07,0.000216813532005232,10.189685413066,0.00411463875569296
20,3.9544186950506,9.0903866122184e-07,0.000344319925058775,7.09570615621695,0.00451198463954514
