t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,10.433258710793,0.028846894921594,3.62596718589672e-09,1.58808261905806e-05,0.0213079887493082,8.59462995527619,0.214194560578277,11.2255422448745,0.000271221370351835
2,NaN,10.0528841313988,NaN,NaN,NaN,5.67828241090621,NaN,NaN,NaN
2.5,NaN,NaN,1.79060932183817e-06,NaN,NaN,NaN,3.48533380973549,NaN,NaN
3,0.192014896446662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,0.000295351071677742,NaN,NaN,NaN,9.5233375320244,0.00507355578011813
4,NaN,9.9044199035499,NaN,NaN,1.54720443991863,5.71482238169056,NaN,NaN,NaN
5,NaN,NaN,1.88373744949461e-06,NaN,NaN,NaN,3.25442783514633,NaN,NaN
6.5,0.124141141560137,5.29260037176113,NaN,0.000273261609984115,NaN,4.91192914357087,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.39840395357323,0.00445062763232506
7.5,NaN,NaN,1.34739124868756e-06,NaN,3.09763714305081,NaN,3.42397495195351,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,6.88534014639183,NaN,NaN,NaN
9,NaN,9.16732965919512,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.140982220120085,7.17795872319281,1.37090109167875e-06,0.000372612813787651,4.64910923622871,8.63494312217995,3.47511310793126,10.4322187308558,0.00447203534718871
15,0.147252401949748,4.82951325759294,1.12695881099064e-06,0.00029413865502051,4.34984534673652,7.97047706068658,2.94139328063961,8.34724586878625,0.00373870097496794
20,0.1675764520058,3.18613451578754,1.15261777485146e-06,0.0002823886773883,5.41523564639084,10.097562346635,3.06579324713192,10.9344823628408,0.00452598932869949
25,0.167604114231865,5.21600697541642,8.95260309382694e-07,0.000327765551344876,4.62782937677868,7.14053595010137,2.24424644226581,9.63539989034048,0.00425777069534851
30,NaN,NaN,NaN,0.000409233019837171,NaN,NaN,2.13664270644715,12.8063887162579,0.00349882584641508
35,NaN,4.25083154366537,8.65510651229508e-07,NaN,5.32089458854834,6.99310100503386,NaN,14.4180461874536,NaN
40,NaN,3.33703611466367,7.89878515402667e-07,0.000220732256060173,3.74986463957951,NaN,2.72066134317431,NaN,0.00335922911815318
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7630214016921,0.00367473513869917
50,NaN,NaN,NaN,NaN,5.43535168214902,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.93456254809649,0.00399836274597163
60,NaN,NaN,NaN,NaN,7.34571094793339,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,5.99023840127824,NaN,NaN,NaN,NaN
