t,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0411653354620194,0.95027418203733,1.02067703101628
0.15,0.214745686257085,0.765431412816328,0.995898266453014
0.3,0.38531620997084,NaN,0.926118939737218
0.35,NaN,0.572808476999302,NaN
0.45,0.469803370581126,NaN,0.942959188598263
0.55,NaN,0.457644308329298,NaN
0.65,0.589919604443623,NaN,1.00611753212239
0.75,NaN,0.42912930369705,NaN
0.85,0.616346871285305,NaN,0.951871119387969
0.95,NaN,0.409711218466408,NaN
1,0.637274900454104,0.39141667240973,0.867566957385327
1.5,0.593123835870719,0.355800972491689,NaN
2,0.585816260125555,0.390752818849182,NaN
2.5,0.615751246684556,0.406279840463986,NaN
3,NaN,0.41964241955788,NaN
