t,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0107638437580238,1.01354183963336,0.991854841479585
0.15,NaN,0.926623414060264,NaN
0.2,0.101585685775264,NaN,0.990634059111552
0.3,NaN,0.872717666556546,NaN
0.4,0.196979577781881,NaN,NaN
0.45,NaN,NaN,0.917690030542692
0.5,NaN,0.813645615183172,NaN
0.6,0.232878000842551,NaN,NaN
0.65,NaN,0.723336234076072,NaN
0.7,NaN,NaN,0.87775617482069
0.8,0.253892611073171,NaN,NaN
0.85,NaN,0.669372651919193,NaN
1,0.296173688450154,0.705966979569065,0.893941136966527
1.5,0.297517284147696,0.661219863984489,0.916583290665483
2,0.348159667254066,0.653015803612295,0.862678643816807
2.5,0.313848635852993,0.724769217663904,NaN
3,0.334073062448668,0.648230979544989,NaN
3.5,0.280203929685095,NaN,NaN
4,0.307903238083666,NaN,NaN
