t,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0167042371680622,1.00900560810002,1.0136330251747
0.15,NaN,0.80016327584205,1.10829257869717
0.2,0.254437936415206,NaN,NaN
0.3,NaN,0.717223147715468,NaN
0.35,0.420157847089826,NaN,1.06137967715292
0.5,NaN,0.531833261968615,0.979706671583929
0.55,0.520832742353433,NaN,NaN
0.65,NaN,0.51415568818657,NaN
0.7,NaN,NaN,0.963035489892306
0.8,0.525096655837816,NaN,NaN
0.85,NaN,0.48965631580546,NaN
0.95,NaN,NaN,1.10512810800583
1,0.557043877815481,0.487568297077701,0.929745818579471
1.5,0.59617721968609,0.419715162502754,1.09284335318785
2,0.573546903219409,0.438439414776687,NaN
2.5,0.564639161631524,0.441155784323927,NaN
3,0.526015579026723,NaN,NaN
3.5,NaN,0.447871917116218,NaN
