t,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000630224703631278,0.98859894800873,1.00763502936667
0.15,0.0834891465197092,NaN,NaN
0.2,NaN,0.960852480135812,0.91282168753813
0.35,0.213357829209932,NaN,NaN
0.4,NaN,0.735221703620691,0.892482722933304
0.55,0.240660420935377,NaN,NaN
0.6,NaN,0.742951226542064,0.941791025903704
0.75,0.264931009980064,NaN,NaN
0.85,NaN,0.631514600797861,0.930033422228985
1,0.299876433248676,0.749074557380875,0.77928189439066
1.5,0.310594672963162,0.705918442776637,0.784318972864507
2,0.287065816929095,0.694727358782597,0.888573344681052
