t,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0149832892030619,0.968474207826658,1.04767776168991
0.1,NaN,0.790801992536879,1.05768411575561
0.2,0.134689687600054,NaN,NaN
0.25,NaN,0.798120869540679,0.944176280161194
0.35,NaN,0.716449174438703,NaN
0.4,0.315659578458664,NaN,1.09197981611692
0.5,NaN,0.599876643219962,NaN
0.55,NaN,NaN,1.08044182729574
0.65,0.416595490972493,0.55701723446042,NaN
0.7,NaN,NaN,0.931974898898397
0.85,NaN,0.615324307489094,NaN
0.9,0.424908991187137,NaN,0.918808664955762
1,0.459842791400264,0.578845495994842,1.08004232960021
1.5,0.469876267246119,0.51611866588843,NaN
2,0.49041182458387,NaN,NaN
