t,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00801067146751881,1.03644655313452,0.963259465335644
0.2,0.0491588309915383,1.00331564101712,NaN
0.35,NaN,0.829758191652363,NaN
0.4,0.1432396056778,NaN,NaN
0.55,NaN,0.757538780542597,NaN
0.65,0.214310501556485,NaN,NaN
0.75,NaN,NaN,0.866436370141228
0.8,NaN,0.714098597669471,NaN
0.9,0.265623233840496,NaN,NaN
1,0.279632184111106,0.768495206126634,NaN
1.5,0.278463486504591,0.744341033192661,0.838495560934086
2,0.322775131278535,0.800890167087344,NaN
2.5,0.313292515626814,0.656945823380168,0.889326046645671
3,0.336646486011656,0.694662383174655,0.882251816442068
3.5,NaN,0.727316018134235,NaN
4,0.309532296296242,NaN,0.914236078409078
5.5,NaN,NaN,0.905656724620119
6.5,NaN,NaN,0.838643178502611
8,NaN,NaN,0.862952479626853
10,NaN,NaN,0.754196009665934
15,NaN,NaN,0.957224667690898
