t,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.00066344511561613,1.00915188469409,1.03373814327373
0.2,0.0590789615584206,0.954410643284349,0.863363382668263
0.4,0.110674461166038,0.884015403000103,0.759303806736192
0.6,NaN,0.746648459299487,0.676801822224463
0.65,0.145918223219063,NaN,NaN
0.85,NaN,0.787660876506185,0.750415458799462
0.9,0.157284367418,NaN,NaN
1,0.156426228107048,0.774168548251907,0.713216110815107
1.5,0.177750726074757,0.712041047193748,0.754496479446953
2,0.17558334090169,0.805844535414398,0.74028838890424
2.5,NaN,NaN,0.668216788815309
3,NaN,NaN,0.756950960826081
3.5,NaN,NaN,0.76903366614101
