t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,32534189.8604104,5896.38722666038,-1.85794503501163e-06,0.0370329767368747,6.19998866575446e-05,100.030934140043,-4.55070641312005e-05,-1.01720047110697e-07,-75783.4411541357
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14636277.3715491
40,1181684.29797134,13685010.5764944,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6851196.90167965
75,NaN,NaN,NaN,NaN,NaN,98.4959975336201,NaN,NaN,NaN
85,-158325.33681432,11040552.7268705,NaN,NaN,NaN,NaN,NaN,NaN,2778673.52935356
100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1656209.90143626
150,67859.8267002071,4065009.59548944,0.000348755609102935,NaN,NaN,98.8212434886376,NaN,NaN,389641.169538409
200,-185193.820095017,NaN,NaN,NaN,0.0203272440183231,NaN,NaN,NaN,-12168.7094810774
250,52687.0733955084,659131.755213794,NaN,0.0170269151075616,NaN,99.7019000942468,NaN,NaN,-18813.8667385217
300,116566.939164565,49444.5077682392,5.91616753209805e-05,NaN,NaN,NaN,NaN,NaN,-27537.6881162316
350,NaN,64762.6006502047,NaN,NaN,NaN,103.944955018027,NaN,NaN,NaN
400,123426.52849435,-66265.9197514119,NaN,NaN,NaN,NaN,NaN,6.24307419592071e-06,44747.9337595748
450,NaN,NaN,1.17553951179673e-05,NaN,0.00214423385470907,99.6126236222626,NaN,NaN,-117612.588645336
500,103914.440517531,-10116.4471621684,NaN,NaN,NaN,NaN,0.00344559627323168,NaN,NaN
550,NaN,NaN,NaN,0.0301517839399308,NaN,101.056988893227,NaN,NaN,-71777.0930673931
600,NaN,-271585.182837169,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,-3.47311973804725e-06,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,0.000233863211646963,92.7972583711463,NaN,NaN,NaN
750,NaN,-9340.51624459652,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,0.0323287590962245,NaN,NaN,NaN,1.20356596239814e-05,NaN
850,NaN,NaN,1.64539173092395e-06,NaN,NaN,NaN,NaN,NaN,NaN
900,NaN,-182831.10458747,NaN,NaN,NaN,100.746323496835,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,6.85302803256368e-05,NaN,NaN,NaN,NaN
1000,NaN,NaN,5.42256644693286e-06,0.0341214070370751,NaN,103.468108717179,0.00296336443457687,1.31790268763816e-05,NaN
1500,NaN,NaN,NaN,0.0308797561312939,0.000168552558107234,110.212771388073,0.00251439611893555,1.40750358443802e-05,NaN
2000,NaN,NaN,NaN,0.033757106616149,0.000498573246763485,NaN,0.00201142133255219,1.27851155523497e-05,NaN
2500,NaN,NaN,NaN,0.0335656119009811,0.000204861220041765,NaN,0.00170912991047279,NaN,NaN
3000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.01253475574098e-05,NaN
3500,NaN,NaN,NaN,0.0354770040481833,NaN,NaN,0.00124359709544692,8.48085763698693e-06,NaN
4000,NaN,NaN,NaN,0.0394636057709592,NaN,NaN,0.00110104393622514,7.59335933221107e-06,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.000702059163805849,4.99700385195128e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.00066067413654969,3.91575976072816e-06,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,0.000459167367840467,3.65817213701807e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000367812191507554,1.95438443766021e-06,NaN
