t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,32027130.4054984,21392.6281993173,-2.43688311504089e-06,0.0349590327249057,-0.000143713756929155,103.425833840063,-7.50056803981835e-05,-2.68056178643027e-07,-53065.6777978926
40,9211243.85631899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10566524.9155075
60,NaN,11469161.5886123,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,2555118.29368072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5347794.2967655
95,NaN,NaN,NaN,NaN,NaN,109.560685074376,NaN,NaN,NaN
100,NaN,9967866.24213152,NaN,NaN,NaN,NaN,NaN,NaN,3353030.50335445
150,270683.844531423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1059125.16984973
200,-60745.1849741541,2771833.44073924,0.000294842701967234,NaN,NaN,111.071382797705,NaN,NaN,330590.170693404
250,84884.6492178406,1012900.47411589,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,-136368.821716738,406524.34264701,NaN,0.0201656685609512,0.0126259328932769,95.9371338092147,NaN,NaN,75305.7847369142
350,NaN,NaN,4.84436279134357e-05,NaN,NaN,NaN,NaN,NaN,37650.9678531079
400,-436263.193142425,61580.7751451401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,95.4944519051103,NaN,7.46271105818967e-06,-23949.7471104251
500,NaN,1858.18031432142,NaN,NaN,NaN,NaN,NaN,NaN,-39148.9885232942
550,NaN,NaN,NaN,NaN,NaN,92.2151582788993,0.00352691232650269,NaN,NaN
600,NaN,-147941.111658987,7.31605594267363e-06,0.0320549648843055,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,0.000490393452182123,NaN,NaN,NaN,94725.8365411578
750,NaN,16372.2202329356,NaN,NaN,NaN,102.597390089231,NaN,NaN,NaN
800,NaN,NaN,4.8824128005428e-06,NaN,NaN,NaN,NaN,NaN,NaN
900,NaN,-30199.5625208533,NaN,NaN,NaN,NaN,NaN,1.3961602286325e-05,NaN
950,NaN,NaN,NaN,0.0321598856412668,0.000125388091550795,102.824346100224,NaN,NaN,NaN
1000,NaN,214937.524501366,3.14033663410021e-07,NaN,NaN,99.6543439819973,0.00310052180187089,NaN,NaN
1500,NaN,NaN,-1.03178673725039e-06,0.031604785610584,0.000275646094059303,95.9967472476299,0.00260451968601531,1.47788443117956e-05,NaN
2000,NaN,NaN,NaN,0.0325087469010243,0.000185585119411498,NaN,NaN,1.39769485155486e-05,NaN
2500,NaN,NaN,NaN,0.033854183019235,0.000279143359984289,NaN,0.00200132073482224,1.2632986944694e-05,NaN
3000,NaN,NaN,NaN,NaN,-1.17784668188189e-05,NaN,0.00158534170640304,1.16730027426811e-05,NaN
3500,NaN,NaN,NaN,0.0349663297478869,7.29420604499794e-05,NaN,NaN,NaN,NaN
4000,NaN,NaN,NaN,0.0319483114251844,NaN,NaN,0.00120117546111242,8.28631096834583e-06,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,0.000900665892279336,6.44653245122072e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000671719582940229,3.88420674221685e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,NaN,0.000401978696942991,3.15946416781821e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000246366466189346,2.40622564384198e-06,NaN
