t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,32298131.2315516,-16322.989212431,-1.34221008196033e-06,0.0334441734092296,-5.86986652354869e-05,103.408089328934,-4.07617466468057e-06,-7.98315420752548e-07,-4561.4957873984
80,NaN,NaN,NaN,NaN,NaN,92.3713569231985,NaN,NaN,NaN
90,22055329.6498869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010402.0992431
150,NaN,3136628.12745917,NaN,NaN,NaN,96.6765143089093,NaN,NaN,NaN
200,14300972.3468843,NaN,0.000374174157133007,NaN,NaN,NaN,NaN,NaN,1355662.17558171
250,NaN,2336890.95167079,NaN,NaN,NaN,90.9141782892661,NaN,NaN,NaN
300,9230397.88907845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,0.0169204887547635,100.517388005544,NaN,NaN,713870.791712226
400,6199821.95583621,1341777.18641305,NaN,0.0153589108650237,NaN,NaN,NaN,3.69285181779936e-06,NaN
450,NaN,NaN,0.000204067927276233,NaN,NaN,96.425203842332,0.00365106844485709,NaN,NaN
500,3851053.25970262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440029.798877062
550,NaN,684465.47722973,NaN,NaN,NaN,112.059347024614,NaN,NaN,NaN
650,1759386.65541627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224023.555703303
700,NaN,411392.209293213,9.89838029767344e-05,NaN,0.00688927354782283,101.562329395145,NaN,NaN,NaN
800,1004569.01481903,NaN,NaN,0.0272809276102407,NaN,NaN,NaN,NaN,NaN
850,NaN,220430.984210155,NaN,NaN,NaN,97.947581729602,NaN,1.34099103298239e-05,83275.6678604515
950,708462.917015104,NaN,3.97090287181265e-05,NaN,NaN,NaN,0.00476062241224325,NaN,NaN
1000,195335.427125963,102850.066454026,3.32212258291925e-05,0.0272016273367603,0.00237763512225126,99.1736938815979,NaN,NaN,67366.10922934
1500,469321.010846792,-28526.1998820733,3.43796879612214e-06,0.0294251109560496,0.000202735089333388,99.234964970966,0.00418634318816859,2.10553274746942e-05,NaN
2000,NaN,40338.9723163473,7.15107053552964e-07,0.0324489169050357,0.000197726858741251,NaN,0.00357086352663498,2.19342596437081e-05,NaN
2500,NaN,-9615.31700041682,-8.66191842827966e-08,0.0298442402942826,0.00026911524160314,NaN,0.00316266926530846,1.95219983642102e-05,NaN
3000,NaN,NaN,-1.29974774409113e-06,NaN,0.000270406068429731,NaN,NaN,1.72661122403072e-05,NaN
3500,NaN,NaN,-8.010283278844e-07,0.0296379328142462,NaN,NaN,0.002171311469668,1.50794062473115e-05,NaN
4000,NaN,NaN,NaN,0.0346587408794948,4.86708734183058e-05,NaN,0.00185654233552274,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.12050225035016e-05,NaN
5000,NaN,NaN,NaN,0.0323444735383386,0.000169598317526199,NaN,0.00140032397531047,8.61443479223447e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.00108148272933953,6.22773139649899e-06,NaN
6500,NaN,NaN,NaN,0.0336962352945758,NaN,NaN,NaN,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,0.000580209798972355,4.04053507868872e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000682445381641222,2.92230061425763e-06,NaN
