t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,31806168.6100342,-146768.046350549,1.27075704236789e-07,0.0385649192470379,0.000356636557727116,100.920996800908,1.06747144959708e-05,-2.18479497350147e-07,-93272.9822806127
40,20630856.3987815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,4116016.34463814,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,95.6098682414907,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5017358.43153299
85,13238750.4726966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,6717250.77492105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,101.967158327505,NaN,NaN,NaN
150,7590589.17084581,5861762.45726389,NaN,NaN,NaN,NaN,NaN,NaN,2496476.51449805
200,4914267.98343413,4218876.32890423,NaN,NaN,0.0243538684118102,100.453429779557,NaN,NaN,1537380.27412478
250,2821148.22219069,2888230.67614109,NaN,NaN,NaN,103.634391086983,NaN,NaN,873715.902672039
300,839987.415676685,1814852.28575557,0.000258625394426636,NaN,NaN,96.8897760253892,NaN,NaN,NaN
350,NaN,1259729.29459187,NaN,0.016703641136262,NaN,NaN,NaN,NaN,378419.543390701
400,551175.289182678,NaN,NaN,NaN,NaN,97.6331917930517,NaN,5.72862881058655e-06,NaN
450,NaN,235323.975726218,NaN,NaN,0.00928172074478377,NaN,NaN,NaN,84344.4225587678
500,127978.520074662,90924.1902894562,NaN,NaN,NaN,109.793950231375,0.00418186944250132,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12559.5096482593
600,NaN,230104.249780389,2.73618277443827e-05,NaN,NaN,91.6674006912042,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24079.0996951315
700,NaN,NaN,NaN,0.0278815605607801,0.00130299810831158,NaN,NaN,NaN,NaN
750,NaN,-56222.3262369032,NaN,NaN,NaN,102.437325822066,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15339.1645669098
850,NaN,29974.0031347285,NaN,NaN,NaN,NaN,NaN,1.47636399762688e-05,NaN
900,NaN,NaN,NaN,NaN,NaN,98.3603257378758,NaN,NaN,NaN
950,NaN,NaN,-1.01984251336724e-06,NaN,NaN,NaN,0.0040606946974427,NaN,-17137.6647752112
1000,NaN,NaN,NaN,0.0302145609779454,0.00046401895897002,NaN,NaN,NaN,-1082.79214193439
1500,NaN,NaN,5.14258710438851e-06,0.0313672346553007,0.000229386056447586,NaN,0.00334063118652386,1.83898289822699e-05,NaN
2000,NaN,NaN,1.89989809325231e-06,0.0304206768451077,-2.45459939027007e-06,NaN,0.00276469511091614,1.78537285312786e-05,NaN
2500,NaN,NaN,NaN,0.0314824262254703,8.03494002178763e-05,NaN,0.0024645174959102,1.58480240940025e-05,NaN
3000,NaN,NaN,NaN,0.0336903976704134,NaN,NaN,NaN,1.42855547097915e-05,NaN
3500,NaN,NaN,NaN,NaN,NaN,NaN,0.00170987163981492,1.04655994138613e-05,NaN
4000,NaN,NaN,NaN,0.0362685799433332,NaN,NaN,0.00132330710999377,1.04283125229032e-05,NaN
4500,NaN,NaN,NaN,0.0340413920644925,NaN,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.0010504072392166,7.21107021203882e-06,NaN
5500,NaN,NaN,NaN,0.0344615544408236,NaN,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.00075176896414111,5.44183027546083e-06,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,0.000404292956942421,2.84142164332542e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000292354479669108,1.88022247937405e-06,NaN
