t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,32665335.8966395,-611.373033107529,-3.7775206392071e-07,0.0341715618988401,-7.10544834968959e-06,100.575109986458,-5.44733015617563e-05,4.96195528636416e-08,-229.32874276733
60,NaN,NaN,NaN,NaN,NaN,93.5593991775676,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,NaN,95.762628149519,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,102.299940033815,NaN,NaN,225545.669510054
250,22479990.840213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,NaN,352613.967492661,NaN,NaN,NaN,99.7484825687315,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,103.477432513063,NaN,1.03596910722129e-06,NaN
450,NaN,NaN,NaN,NaN,0.00536534340315434,NaN,NaN,NaN,155297.489977271
500,NaN,NaN,8.58089684801231e-05,NaN,NaN,105.824173129187,NaN,NaN,NaN
550,14775186.0865932,NaN,NaN,0.0307242970536682,NaN,NaN,0.00126016850997159,NaN,NaN
650,NaN,215074.515803364,NaN,NaN,NaN,NaN,NaN,NaN,114113.967025266
800,10006632.5682935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.76079634077077e-06,NaN
900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81765.6109859649
950,NaN,NaN,NaN,NaN,0.00283856043848111,NaN,NaN,NaN,NaN
1000,7301950.4891532,127275.351578174,4.40281466983452e-05,0.0305877682701474,NaN,NaN,0.00182151313915982,NaN,68923.84753999
1500,3738374.31762051,64169.858317513,2.05023934348519e-05,0.0338176768876606,0.00133211379647774,NaN,0.00203417698138991,8.70865970366358e-06,32335.4777611794
2000,2841414.78487912,30816.4923842948,9.86014306815577e-06,NaN,0.000696688488733904,NaN,NaN,NaN,14477.863443653
2500,1461767.86126381,13426.4385835357,NaN,0.0323290483149246,0.000292919407690858,NaN,0.00175343791071701,9.94460071294639e-06,9056.31333930168
3000,NaN,9228.09874139125,3.08326893749288e-06,0.0326418251507448,0.000179568205547095,NaN,0.00147340825897298,9.2153973895722e-06,8113.8001128656
3500,-76681.6592787841,6396.2872972543,1.6488080796571e-06,NaN,NaN,NaN,NaN,8.82662497140817e-06,1856.77758016963
4000,211405.065410767,NaN,NaN,0.0341410626280851,0.000163885440888069,NaN,0.00115955432513925,7.23512762398483e-06,3918.04250855285
4500,551215.920352343,-3644.49168723585,7.66170366404636e-07,0.0317750649524809,NaN,NaN,0.000920670572162479,NaN,4776.66630513335
5000,NaN,NaN,NaN,NaN,0.000101967278991009,NaN,NaN,5.52320405596205e-06,NaN
5500,NaN,2763.8024208947,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,NaN,1.62579102453875e-06,0.0362538376550745,-0.000108799325179638,NaN,0.000612702714535453,3.13964679518592e-06,NaN
7000,NaN,NaN,1.35845163201462e-06,0.0342171334737768,-5.4730707016563e-05,NaN,0.000368621363595182,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.35752530408215e-06,NaN
8500,NaN,NaN,NaN,0.0331964772514859,NaN,NaN,0.000226259169447312,1.41701165758422e-06,NaN
