t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,32384677.1155013,6185.77432421415,-1.07982046137147e-06,0.0341262880047237,-0.000113265943235348,105.357989655893,0.000159330172945308,4.22703388733365e-07,13741.211393675
70,NaN,NaN,NaN,NaN,NaN,105.078806663845,NaN,NaN,NaN
150,24328896.4658737,1123992.767669,NaN,NaN,NaN,99.3291199046895,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,109.838808298421,NaN,NaN,600466.793101191
250,NaN,NaN,0.000238572165218542,NaN,NaN,NaN,NaN,NaN,NaN
300,18557313.5919014,NaN,NaN,NaN,NaN,91.3635768387502,NaN,NaN,NaN
350,NaN,864121.768430717,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,0.0111756563382957,100.130881423172,NaN,3.28962513658259e-06,394903.903059075
450,13143425.1123436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,0.024737279650284,NaN,97.3574423394958,0.00247534134780477,NaN,NaN
550,NaN,546006.430908315,0.000143341261703109,NaN,NaN,NaN,NaN,NaN,NaN
600,10077982.4415969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,242521.883195
650,NaN,NaN,NaN,NaN,NaN,86.8438509888676,NaN,NaN,NaN
750,NaN,320618.107726744,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800,5750838.4455209,NaN,NaN,NaN,0.00592299549498836,NaN,NaN,NaN,NaN
850,NaN,NaN,8.63813540483223e-05,NaN,NaN,NaN,NaN,8.76391292108258e-06,166695.553964565
950,NaN,NaN,NaN,NaN,NaN,NaN,0.00365919632128571,NaN,NaN
1000,3897764.47362237,232294.481903509,6.36347638353616e-05,0.0270506603192685,NaN,NaN,NaN,NaN,109783.814395101
1500,1454770.24674861,62838.8533189961,2.46975530597249e-05,0.0300263503802355,0.00158169828878046,NaN,0.00371954835312549,1.62755937893189e-05,33017.9025212218
2000,1036205.12359657,NaN,9.8908996658558e-06,0.0331833352611121,NaN,NaN,0.00337318851443139,1.77235868808406e-05,19365.9825482776
2500,25056.5074745799,NaN,4.17333814394825e-06,0.0320199103673211,0.0003154361230413,NaN,0.00291808006158706,1.72074757392229e-05,NaN
3000,NaN,NaN,3.53869261319017e-06,NaN,0.000140068806698445,NaN,NaN,1.70279622391823e-05,NaN
3500,NaN,NaN,4.61538547575087e-06,0.0316679364951349,0.000131734912760128,NaN,0.0020039260323595,1.40589875448971e-05,NaN
4000,NaN,NaN,-1.06702941139071e-06,NaN,NaN,NaN,0.00172198433668063,1.2130784356394e-05,NaN
4500,NaN,NaN,3.50707302408977e-07,0.0341882236095671,-0.000115820975193681,NaN,NaN,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,0.00102697050749454,8.4673448794078e-06,NaN
5500,NaN,NaN,NaN,0.0350029344279077,6.25360530134044e-05,NaN,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,0.000992738320446688,5.92280105519582e-06,NaN
6500,NaN,NaN,NaN,0.0350005518343897,0.000132394462961396,NaN,NaN,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,0.000565250872975323,4.02446704491297e-06,NaN
8000,NaN,NaN,NaN,0.0370816941190922,NaN,NaN,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,0.000327334119827809,3.01608670189313e-06,NaN
