t,Epo_Obs,EpoR_Obs,Epo_EpoR_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs
0,1653.74127243571,801.996045232053,-0.594510120880876,-19.28105488646,-5.73245085757089
20,1074.73875274797,418.636119734822,NaN,NaN,NaN
25,NaN,NaN,309.016934125933,331.694195001129,NaN
35,NaN,NaN,NaN,NaN,20.2483886354482
40,913.115339572285,NaN,NaN,NaN,NaN
45,NaN,494.08067574569,NaN,NaN,NaN
50,NaN,NaN,253.976246688794,504.959306368342,NaN
60,749.181560595258,NaN,NaN,NaN,NaN
65,NaN,479.232145986464,NaN,NaN,21.3987722427884
75,NaN,NaN,208.523245079248,602.623883807653,NaN
80,564.023894850196,NaN,NaN,NaN,NaN
90,NaN,577.155218575527,NaN,NaN,NaN
100,459.107238091884,571.673854367841,162.517727750564,673.013386259371,67.5279691086893
150,232.402046607201,641.288419422048,100.078069972716,647.479394540341,110.137262310227
200,94.6190806724743,768.6290953581,52.2592586663109,509.381143618977,168.978589646015
250,77.6562024159249,741.576421324561,36.7911772360002,387.504275367994,178.588771465911
300,48.1749320380122,759.142469168371,17.3613759776174,265.133835697814,226.068330428245
350,3.18790500955172,800.029268497127,20.1914471675186,199.544835531413,259.191518569396
400,NaN,884.164611408027,1.45067370724082,136.27364938853,237.559995429337
450,37.7372099979145,NaN,NaN,NaN,NaN
500,NaN,NaN,6.79938501581535,51.1986974885274,260.752049498279
600,NaN,NaN,NaN,NaN,276.801150233097
750,NaN,NaN,NaN,NaN,257.152502921473
