t,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,0.00014120910324924,1.0074271799029e-08,0.142887351418329,0.00147117700596933
15,NaN,2.22904748716486e-06,0.569711975349362,NaN
25,4.02452213914691e-05,NaN,NaN,0.00141697602843808
30,NaN,2.33677736335915e-06,0.543540614390734,NaN
45,NaN,1.6506401657961e-06,0.528572427669267,0.00126762331505125
50,4.4054756944003e-05,NaN,NaN,NaN
60,NaN,NaN,0.409315314345605,NaN
65,NaN,1.87514633791171e-06,NaN,NaN
70,NaN,NaN,NaN,0.00144032415683272
75,NaN,NaN,0.55987631432547,NaN
80,5.04480964085844e-05,NaN,NaN,NaN
85,NaN,2.00189207652763e-06,NaN,NaN
95,NaN,NaN,0.350205087492751,0.00147752451582054
100,6.24965967051857e-05,1.819870772828e-06,0.370610906123155,NaN
150,5.85758088394072e-05,1.41178048444552e-06,0.297285588620305,0.00194763537945224
200,7.0455604258165e-05,NaN,0.260510822007705,0.00198665962810029
250,7.30416041022392e-05,NaN,0.182163163778307,0.00190173743644013
300,7.21685585080991e-05,NaN,0.121054613633283,0.0019386165881745
350,8.34418625593155e-05,NaN,NaN,0.00196165889087563
400,8.78443926362062e-05,NaN,NaN,0.00170673443736439
450,8.2436948129017e-05,NaN,NaN,NaN
550,8.26267674436858e-05,NaN,NaN,NaN
