t,Reelin_input,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
19,0,0.000123018043248984,9.90441749018962e-09,0.14720136036829,0.00193500791764074
19,0.00012207,0.000163529820846351,1.11875514621562e-06,0.130494168209801,0.00170903709789429
19,0.00024414,0.000152666219749825,1.46659479889921e-06,0.142595723701876,0.0017097663597936
19,0.00048828,0.000133709104261669,1.53864822844483e-06,0.123161284798284,0.00173307330586081
19,0.00097656,0.000145689314142919,3.47164502764927e-07,0.13892531359317,0.00182106818820991
19,0.0019531,0.000115359082851587,NaN,0.229990287116123,0.0017755280537978
19,0.0039062,8.31455791276483e-05,1.86304063816069e-06,0.33829446633924,0.00167334439245733
19,0.0078125,5.23694260309595e-05,1.94232998621095e-06,0.583934967469913,0.00162712442599032
19,0.015625,3.19015049692254e-05,2.29740247183731e-06,0.715448246111506,0.00136160851859469
19,0.03125,1.53718619953955e-05,2.47181264407854e-06,0.793030894654272,0.000949968298504164
19,0.125,5.21581403355881e-06,2.77574353120109e-06,0.87651188783477,0.000961078729905375
19,0.25,2.84162218867966e-06,2.7402101586706e-06,0.881695185962197,0.00105152823267801
19,0.5,1.28174015880119e-06,2.6400573935621e-06,1.29661102446899,0.00106332858467198
19,1,7.47799296064416e-07,3.01809075163382e-06,0.809488128289798,0.000976269094199377
