t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_re_Dab1_Obs,SFK_Obs
0,2.01835187120185e-11,0.00175049144622591,0.0109183823872109,1.82070842578388e-10
30,1.00588277426214e-11,0.0012402339285067,0.39811167049998,1.1833810587418e-10
55,8.7437519310474e-12,NaN,0.513863017733904,NaN
60,NaN,0.000798994335403173,NaN,9.04525911771149e-11
90,1.0676719758839e-11,NaN,0.721159007716754,7.82343089640899e-11
95,NaN,0.000556538473146589,NaN,NaN
100,NaN,NaN,0.867914214957848,1.05313488432155e-10
150,9.92592057360226e-12,0.000366646090591126,0.995543142783193,9.1861269108607e-11
200,8.14272395243045e-12,0.000230744970009196,1.28536213297421,8.18804564630059e-11
250,1.01079217057976e-11,0.000105433788720784,1.2850055204187,3.22820270912609e-10
300,1.10908277990418e-11,NaN,1.54777113111853,1.83514950286601e-09
350,NaN,3.11388614114416e-05,NaN,NaN
400,NaN,1.82191996219888e-05,1.84364202242632,NaN
450,NaN,NaN,1.71201242866949,2.25160585154101e-07
500,NaN,1.2615869819076e-05,NaN,NaN
600,NaN,3.37323621181476e-06,1.94785858379583,1.51359981737735e-11
