t,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs,ApoER2_Dab1_Obs
0,0.000144091877043034,1.0893590884421e-08,0.182548497522807,0.00178125394542943,0.93560769047188
10,NaN,3.23713503544974e-06,NaN,NaN,0.0122479679833103
15,8.27168983688435e-07,NaN,0.946114738514876,NaN,NaN
20,NaN,NaN,NaN,0.000964598525068793,NaN
25,NaN,2.65717593025471e-06,NaN,NaN,0.0080503742211359
30,7.12768481146289e-07,NaN,0.87629043731029,NaN,NaN
35,NaN,NaN,NaN,NaN,0.00725612132557915
40,NaN,3.11779567543629e-06,NaN,0.00147791359383304,NaN
50,6.57842314539707e-07,NaN,0.773957672497553,NaN,0.00747010203246169
55,NaN,2.69080520779313e-06,NaN,NaN,NaN
65,NaN,NaN,0.644690673464565,0.00139819012148141,NaN
70,4.99650597000112e-07,2.27941240294242e-06,NaN,NaN,0.00547365618233062
85,NaN,1.5954123286584e-06,0.694903989123645,0.00121275203669453,NaN
90,4.35696030332756e-07,NaN,NaN,NaN,0.00522541131418155
100,5.65854467706466e-07,2.21317297653344e-06,0.598533132735958,0.00124271217430407,0.00459726164347057
150,3.92451914313327e-07,1.66876298013069e-06,0.387716435270739,0.00152753370704386,0.00354574532863775
200,2.97265735668584e-07,1.60290629057748e-06,0.307921642524327,0.00168569166831426,NaN
250,NaN,1.76014582409505e-06,0.281757574181899,0.00163782933466911,NaN
300,NaN,NaN,0.293466385667819,0.00187234714892499,NaN
350,NaN,NaN,0.215303551733852,0.00190554242388837,NaN
