t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1SFKInh_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,2.18547141145886e-11,0.00188537916241019,7.21209813974611e-08,1.49049174630077e-10
4.5,NaN,NaN,2.89592823851225e-08,NaN
5.5,2.43970945933013e-11,NaN,NaN,NaN
9,NaN,NaN,2.36196790272269e-08,NaN
10,2.24338750639454e-11,0.00186742223333013,NaN,NaN
15,NaN,NaN,2.40278913462374e-08,NaN
20,2.16194337839336e-11,0.00194966810194834,2.84560494651899e-08,6.66442266512642e-10
25,2.1108973503456e-11,NaN,2.12679795195555e-08,NaN
30,NaN,0.00192034481967735,NaN,NaN
35,2.09024914531364e-11,NaN,2.67062139331059e-08,NaN
40,NaN,NaN,2.25409101018506e-08,NaN
45,2.21415863518635e-11,0.00174069039529703,NaN,5.53170983414757e-10
60,NaN,0.00187620251132726,NaN,NaN
70,NaN,NaN,NaN,6.67687463965776e-10
75,NaN,0.00185572514895279,NaN,NaN
95,NaN,0.00181305838290718,NaN,6.12851863333645e-10
100,NaN,NaN,NaN,5.52548979454519e-10
150,NaN,NaN,NaN,5.57792720131571e-10
200,NaN,NaN,NaN,5.42570909323552e-10
250,NaN,NaN,NaN,6.75317031054203e-10
300,NaN,NaN,NaN,5.78553263771749e-10
400,NaN,NaN,NaN,4.90056242847861e-10
450,NaN,NaN,NaN,5.30793275504712e-10
550,NaN,NaN,NaN,4.46659322529798e-10
