t,STAT_Obs,npSTAT_npSTAT_Obs,nSTAT1_Obs,nSTAT2_Obs,nSTAT4_Obs,Compound_1_Obs
0,1.05292083100217,0.000103038223184534,9.56292599827788e-05,0.000999586888924888,0.000111933048539374,0.951584226287712
4,NaN,NaN,NaN,NaN,NaN,1.16420919792452
5.5,0.0402318798028937,NaN,NaN,0.151873297578542,NaN,NaN
6,NaN,NaN,NaN,NaN,0.129730402081721,NaN
8,NaN,NaN,NaN,NaN,NaN,1.32227565158191
8.5,NaN,NaN,0.23074939272488,NaN,NaN,NaN
9.5,NaN,0.0966082552962125,NaN,NaN,NaN,NaN
10,0.0284595925441906,NaN,NaN,0.216236600381457,0.238052906182662,1.48873887851329
15,0.025336427707648,NaN,0.21880028787992,0.198173729684021,NaN,1.31442599127548
20,NaN,0.100523149765908,NaN,NaN,0.195163041693855,1.63548911023597
25,0.0536179733053195,NaN,0.191869748776784,0.211921881687116,0.185162815363895,NaN
30,0.0974510670076003,0.085074799777665,NaN,0.180735644673515,NaN,1.38392518509051
35,NaN,NaN,0.161129221808573,NaN,0.167961101860396,1.42187136799904
40,0.427859084572341,0.0585338062409152,NaN,0.134668863862503,0.150244362944938,NaN
45,0.631714003762171,NaN,0.0830465023502859,0.0926235492934329,NaN,1.2966825262282
50,NaN,0.0218292722133322,NaN,NaN,NaN,NaN
55,0.842109976524762,NaN,NaN,NaN,0.0376401440716713,1.23332817084743
60,NaN,NaN,0.0129382216143134,0.0154301042628662,NaN,NaN
65,NaN,0.00317109372298389,NaN,NaN,0.00712745001915485,1.00856444648794
70,1.00475247147542,NaN,0.00267430894964458,0.00426757962789486,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.993503027380505
80,NaN,0.000403166702887074,NaN,NaN,0.00116527925283591,NaN
85,0.974064952719105,NaN,0.000499171993011201,0.00144167531666676,NaN,NaN
95,NaN,0.000166636054219912,NaN,NaN,0.000263376727922981,NaN
100,0.983044035480267,0.000140750668650348,0.000324431335520722,NaN,NaN,NaN
150,NaN,0.000141845462350065,0.000201139267710075,NaN,NaN,NaN
