t,STAT5B_Obs,pApA_Obs,nucpApA_Obs,nucpBpB_Obs
0,64.1684554234457,5.6920395950605e-08,5.26499200516595,2.8428668070513
15,NaN,4.46449119066373e-06,155.545189125907,42.9673501634335
20,6.97487279130728,NaN,NaN,NaN
30,NaN,2.28486672581558e-06,NaN,43.7058731262831
35,NaN,NaN,155.478629888217,NaN
40,4.77719501229403,NaN,NaN,NaN
45,NaN,NaN,NaN,45.5399876450968
50,NaN,2.11415853153258e-06,154.378470969846,NaN
60,5.54784731143349,NaN,NaN,NaN
65,NaN,1.88168567918573e-06,NaN,40.8402061539771
70,NaN,NaN,144.73312543986,NaN
80,7.0731340690089,NaN,NaN,38.1828129621296
90,NaN,1.61319561539475e-06,146.48083689989,NaN
100,7.06828401335215,1.48019365622167e-06,141.388031880547,36.9164812921493
150,10.4649558191853,1.1062073778418e-06,129.129567992606,27.9758030675261
200,11.7851623075015,NaN,108.388998860831,23.5010164332325
250,14.8076281558008,NaN,89.5824181387012,19.7337682592406
300,16.2411795073402,NaN,86.3567875184134,15.0692597059226
350,NaN,NaN,71.2620972983328,15.9604026130615
400,18.9377725681214,NaN,60.0411633527691,NaN
450,20.4124238454826,NaN,NaN,NaN
550,23.7770601376712,NaN,NaN,NaN
