t,SOCS3mRNA_Obs,Rec_Obs,Rec_i_Obs,Compound_1_Obs
0,-0.105158829363973,1.31890272017717,238.079629205291,205.632978465275
3.5,0.0181929915579623,1.67722011119028,NaN,NaN
4,NaN,NaN,205.473419572841,245.58333330773
7,0.173000948751569,NaN,NaN,NaN
7.5,NaN,2.15525867311202,NaN,NaN
8,NaN,NaN,257.906675903156,NaN
8.5,NaN,NaN,NaN,271.116741779606
10,-0.0377649836337344,2.13245921721977,NaN,NaN
15,-0.0182545435276857,2.29211120982834,244.401636032916,239.795269547233
20,-0.0766863171173943,1.64549336940226,220.106435700734,265.208351286296
25,-0.00118236379210652,1.9088441227405,194.202010649094,214.7865647032
30,-0.280014823657874,2.11991989015158,225.333492874458,226.118958223008
35,NaN,NaN,221.620564489368,NaN
40,-0.00430758233572432,2.28056374880735,NaN,265.563465264705
45,NaN,NaN,248.070116412628,NaN
50,0.0443674371691955,2.0402933443495,NaN,224.793980530331
55,NaN,NaN,153.363629385918,NaN
60,NaN,1.92825277568707,NaN,222.730495616876
