t,SOCS3mRNA_Obs,SOCS3_Obs,Compound_2_Obs
0,165.805036775873,-6.58731042388164,138.848789015587
10,13.3353973948098,-3.88333772058393,148.777065077925
25,94.3990389977863,23.2467195290492,134.724134453428
35,98.8068044993967,61.2714456397287,102.095963274882
50,453.256838595992,75.8817615625128,86.9832414598144
65,951.85445683489,145.59626889241,83.7604622308724
80,1063.28453204129,NaN,92.8675917056323
85,NaN,187.64081135751,NaN
100,1606.67012384088,210.892614760797,118.996600585638
150,2422.01598026988,216.043384284548,140.718072305304
200,2872.85725205313,NaN,126.23808428694
250,3712.33077387549,NaN,109.852917976929
300,3708.94967867633,NaN,127.110631970867
