t,SOCS3mRNA_Obs,Compound_1_Obs,Compound_2_Obs
0,-339.621030512974,242.773057524873,168.174419989242
10,-3.28553986439742,285.798407589098,141.314420790536
20,272.267295196212,392.179598536185,98.4538898740775
30,NaN,NaN,68.6581734662993
35,517.349038060488,545.120190630277,NaN
45,604.80644069012,457.045581068326,69.7565750213797
55,NaN,NaN,86.3973493594832
60,965.801974149741,593.895870001385,NaN
70,NaN,NaN,91.3187638598856
75,2104.98392917019,480.688841023275,NaN
90,1689.17263733682,NaN,66.316159882633
95,NaN,531.875137591415,NaN
100,1846.81598844375,517.763257438142,76.7679937466181
150,3121.78525532045,508.942218732767,90.9572173140962
200,4257.71976111717,423.652402364506,94.5513286814356
250,5225.93520498423,NaN,95.2406863158023
300,6108.71219016298,NaN,NaN
