t,SOCS3mRNA_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs
0,290.659337247219,-20.9082541518982,184.182291244403,164.022597145255
10,254.646962071228,NaN,208.225325858301,108.926180841122
15,NaN,9.5045682905062,NaN,NaN
20,58.3716368048069,NaN,NaN,70.5249555708185
25,NaN,6.54783062726542,353.423849343794,NaN
30,NaN,NaN,NaN,54.0370589768795
35,351.082787000103,NaN,357.490107508984,NaN
40,NaN,76.6449117384767,NaN,NaN
45,438.147784574577,NaN,NaN,61.5095523735888
50,NaN,NaN,400.306467708831,NaN
55,NaN,144.57424174664,NaN,NaN
60,1394.65955529032,NaN,NaN,71.9248946297117
65,NaN,NaN,486.409225709752,NaN
70,NaN,174.977247782184,NaN,NaN
75,1884.3352366006,NaN,NaN,85.4903903800558
85,NaN,NaN,649.439319405636,NaN
90,1533.35820656955,223.136289644562,NaN,81.374621419146
100,2132.80038414388,213.586451480722,592.225370979253,57.566034366409
150,3403.13050092401,237.351393456879,520.490602536485,84.9100422211787
200,4894.38379705054,266.806016924156,583.700170068734,52.3948400573216
250,5979.24431802259,266.506629081937,593.278877114807,NaN
300,7116.52534960939,268.107963194319,501.394837841901,NaN
