t,input_il6,nSTAT3_Obs
200,0.1,40.2728391912576
200,0.1,44.2521771348839
200,0.5,36.433239752034
200,0.5,40.1163488007336
200,1,39.4784483736783
200,1,38.4145228454788
200,2.5,47.8661762705309
200,2.5,44.1292459800055
200,5,31.475895538554
200,5,46.0126106697706
200,10,39.2521672704681
200,10,47.051238104847
200,25,52.8872518348659
200,25,46.3918946578807
200,50,36.5886131788968
200,50,38.7102002146423
200,100,43.9378589190703
200,100,46.6259723077121
200,500,52.1232031531524
200,500,41.3066724753365
