t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,31.0161224834882,44.0066107888618,0.0206789890064681,0.000741168632322907,0.226370139663455
6.5,NaN,61.9061762405929,NaN,NaN,NaN
9.5,17.1030208797718,NaN,NaN,NaN,NaN
10,NaN,NaN,0.002882777381047,NaN,-0.122663824673547
15,NaN,80.9637177214912,NaN,0.000856370490902397,NaN
20,15.3619441075974,75.4253479465802,0.0888509332279699,NaN,-0.00253811410277421
30,20.0602400898372,64.9405148735619,NaN,0.00358083763931546,NaN
35,NaN,NaN,0.359405950325809,NaN,2.22694366418654
40,NaN,45.8104724486677,NaN,NaN,NaN
45,25.5981294378803,NaN,NaN,0.0108405970854078,NaN
50,NaN,37.1153788394114,0.340951067378428,NaN,6.66605453853549
55,25.69945287625,NaN,NaN,NaN,NaN
60,NaN,31.2949555991402,NaN,NaN,NaN
65,NaN,NaN,0.133332434376284,0.00911919537307523,6.41411783409044
70,31.5831237328161,NaN,NaN,NaN,NaN
75,NaN,36.7961500804402,NaN,NaN,NaN
80,NaN,NaN,0.0192340704250452,NaN,NaN
85,NaN,NaN,NaN,0.00327584446852134,1.96645669753201
90,26.3841839860944,NaN,NaN,NaN,NaN
95,NaN,44.3831878267285,NaN,NaN,NaN
100,31.4697850840877,NaN,0.00123311759843002,0.00090965052897221,0.819514511203657
150,25.9549203749605,NaN,0.00640443709916614,-0.000435673995896797,-0.0210735788396457
