t,input_il6,nSTAT3_Obs,nSOCS3RNA4_Obs
23,0,10.9867638868708,0.00220642232331807
23,0,27.7883192929441,0.000125335333999868
23,0,48.6083359698513,-0.010313407446711
23,15,76.9761111354871,0.125739982890598
23,15,86.0526062729224,0.0757371983492369
23,15,91.1849504208975,0.0740831758576314
23,30,93.2135214266739,0.24100200413469
23,30,100.364256397609,0.206387335652989
23,30,105.687781429329,0.231577436558487
23,60,110.644399052283,0.344369453211003
23,60,111.64391328531,0.342011715958556
23,60,123.516488796666,0.350906311863492
23,120,102.691155950236,0.538939635415736
23,120,107.680714440593,0.475873610178474
23,120,114.948637861084,0.488892623803506
