t,input_il6,nSTAT3_Obs,nSOCS3RNA4_Obs
33,0,27.7747883662091,0.0214217669000413
33,0,33.1042917301718,0.0406905846710822
33,5,68.4700498721445,0.20489169309114
33,5,75.1215985357547,0.230834874091239
33,10,71.7675202408691,1.21496981858297
33,10,84.3050450175178,0.938482602364922
33,20,70.6577664347287,0.413287688133531
33,20,71.3229708758312,0.309605081614008
33,40,71.9658178966605,0.674671490192566
33,40,77.5117533991384,0.612338519845328
33,80,84.7688306652184,0.0817754060239498
33,80,72.6688875100562,0.118260659310661
33,120,91.1196106283067,0.853417382285398
33,120,86.1448090839564,0.789844636260101
