t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,30.2445831680272,42.1086378261597,0.0241357015731414,0.000330310770186143,0.639075876814556
8.5,NaN,91.5677918285786,NaN,NaN,NaN
9.5,15.3456715040167,NaN,NaN,NaN,NaN
10,NaN,NaN,0.0422043880374225,NaN,-0.705732051743785
15,NaN,111.757189728952,NaN,-0.000201958497893874,NaN
20,10.6596793280237,NaN,NaN,NaN,NaN
25,NaN,87.8287411099762,0.417231060232457,0.00224093097409924,1.07464663357913
30,13.6801944498872,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,5.42043154477602
40,21.7315661154077,42.1169205284394,0.801303933999819,0.018777293279683,NaN
50,NaN,38.4216564991838,NaN,NaN,14.005030311366
55,27.4387734394889,NaN,0.452560682085541,NaN,NaN
60,NaN,NaN,NaN,0.0210055034187966,NaN
65,NaN,26.5892024312783,NaN,NaN,NaN
70,21.8843347940302,NaN,0.145027955981989,NaN,9.51454191988001
80,NaN,32.2831932679218,NaN,0.00598525172624085,NaN
90,27.5851309173957,NaN,NaN,NaN,2.35056547926803
95,NaN,NaN,0.0203132781737547,NaN,NaN
100,27.0197836181523,27.1027437508083,-0.0308122168565714,0.00106546942544593,0.397506739590747
150,25.4561016024213,NaN,0.00579524502010551,0.000132772215033919,0.122648190046881
