t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs
0,0.00126496574453453,30.5610854480786,0.0392688914609074
10,NaN,127.622796765086,0.0464728257177252
15,0.138580368851395,NaN,NaN
20,NaN,113.777115890885,NaN
25,0.1114057547149,NaN,0.910020610361671
30,NaN,93.7207408921764,NaN
35,NaN,NaN,1.31187569336721
40,0.0288414623583164,NaN,NaN
45,NaN,51.0857140161791,NaN
50,NaN,NaN,1.09080968544064
55,NaN,50.8540445668853,NaN
60,0.0157876132366321,NaN,NaN
65,NaN,NaN,0.385845313845568
70,NaN,28.0994781649405,NaN
75,0.0128746468441557,NaN,NaN
85,NaN,NaN,-0.0132263738661808
90,NaN,27.6513879455321,NaN
100,0.0210182298346276,52.032699468943,0.00943231049226896
150,0.0274705364179352,47.6658673128263,0.469609815584439
200,0.0278140525153912,49.9525029998916,NaN
