t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,21.6380038600321,35.6476290798593,0.0542269588795443,-0.000309458887777826,-0.517665186659095
7.5,14.0068973016858,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.00353825275516128,NaN,0.739373766875082
9.5,NaN,110.085936465369,NaN,NaN,NaN
10,NaN,NaN,NaN,-0.000256050022241751,NaN
15,8.39291627846165,NaN,NaN,NaN,0.910822562254656
20,NaN,108.30181967823,0.282300272332842,NaN,NaN
25,20.3747874716857,NaN,0.498460549879702,0.00446396585140787,1.60697222878304
30,29.4252225245561,50.4330339819415,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,6.54844059159377
40,26.9424260246317,NaN,0.766022303586715,0.0205521972138585,NaN
45,NaN,41.1732395993476,NaN,NaN,NaN
50,NaN,NaN,0.57351135635456,NaN,13.4216603609095
55,28.0987421553765,38.7355905525107,NaN,0.0189147967141714,NaN
65,27.6796706787756,NaN,0.158410000597038,NaN,10.4015141442989
70,NaN,NaN,NaN,0.0107354619494142,NaN
75,NaN,25.3375814986941,NaN,NaN,NaN
80,NaN,NaN,0.0666055217116118,NaN,4.99800613464937
85,26.0055196173116,NaN,NaN,0.00181290923069922,NaN
95,NaN,33.4784361530278,NaN,NaN,NaN
100,27.5584840405038,18.7098661006922,0.0457734312902556,0.000526580342729879,1.28250742494289
150,NaN,NaN,NaN,-0.000833806452344185,NaN
