t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,27.6018181478818,42.2650826126455,0.0215407038022719,0.00152308605156175,0.813287610132389
10,12.4632912991951,NaN,0.0114731635075922,NaN,-0.12765617028184
15,NaN,112.786960530534,NaN,0.00125019073529805,NaN
20,10.5710392239923,NaN,NaN,NaN,NaN
25,NaN,NaN,0.560012497607126,NaN,1.51105143222601
30,NaN,95.5057804771197,NaN,0.011414461206018,NaN
35,21.3163085654623,NaN,NaN,NaN,NaN
40,NaN,NaN,1.04289457812873,NaN,10.4526630191088
45,21.8698984227849,28.3742566617839,NaN,NaN,NaN
50,NaN,NaN,NaN,0.0270588403263457,NaN
55,NaN,NaN,0.525889737712664,NaN,16.8471372802215
60,27.1693129411809,NaN,NaN,NaN,NaN
65,NaN,31.8564498164549,NaN,NaN,NaN
70,NaN,NaN,0.195609687907183,0.0177721607451945,10.8879392839759
75,29.4905754372747,NaN,NaN,NaN,NaN
85,NaN,34.6760893266731,NaN,NaN,NaN
90,NaN,NaN,0.0676340391898419,0.00217749544983637,2.63664132289677
95,33.0429249307975,NaN,NaN,NaN,NaN
100,29.5898757505531,30.6367667371642,0.0297782081076678,0.0015360846672416,1.38912468614691
150,21.5081914731345,39.2490033192674,0.0325459241921932,-5.99599018694243e-05,-1.30837875966709
200,NaN,37.3906365834576,NaN,NaN,NaN
250,NaN,38.711277677694,NaN,NaN,NaN
300,NaN,29.6821754957189,NaN,NaN,NaN
