t,input_il6,nSTAT3_Obs
650,0.1,29.2056511813122
650,0.1,34.2012857000654
650,0.5,34.5025991881041
650,0.5,39.7601567232356
650,1,36.2394193330955
650,1,38.3438909014199
650,2.5,39.440803502478
650,2.5,50.3508000012462
650,5,37.4937011521976
650,5,39.5852192509145
650,10,33.0017986874426
650,10,41.864398195641
650,25,43.2666741703023
650,25,52.1922720063897
650,50,35.3613392601451
650,50,47.5331754255233
650,100,39.9471254542714
650,100,56.5781761365314
650,500,51.04272074281
650,500,60.933794094189
