t,input_stattic,nSTAT3_Obs,nSOCS3RNA4_Obs
0,0,34.7541253530843,0.0095247320710745
0,0,36.0992421134959,0.0105013453923891
0,1,32.6049670438493,0.00942089352677941
0,1,45.0548403588476,0.0104340357655963
0,5,38.6746040020558,0.0117543009800063
0,5,30.9752496693098,0.00989265482214819
0,10,34.4036874565757,0.00923828365340345
0,10,35.9983332291377,0.00851056928704268
0,20,39.363287076917,0.0112134030360051
0,20,43.7208349489698,0.0116637653924627
0,50,43.7544934332073,0.0103288989958459
0,50,35.6436396359978,0.0109257102180695
