t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,27.0295560853072,61.0697518040708,0.0117865196612439,0.000425237086365252,0.214760034682939
5.5,NaN,NaN,0.0109245233532207,NaN,NaN
7,NaN,NaN,NaN,NaN,0.197124534395967
8.5,NaN,NaN,NaN,0.000336544369907699,NaN
10,NaN,NaN,0.00911998709154425,NaN,NaN
15,NaN,130.47745211999,0.00734855796722611,NaN,0.216666853581805
20,7.26151454411478,NaN,NaN,0.000336078011674031,0.195692702162977
25,NaN,NaN,0.00537377783791677,0.000304830104485436,NaN
30,NaN,NaN,0.00288565668069872,NaN,0.131414840566731
35,4.68710886583316,111.761685583877,NaN,0.000194269631537045,NaN
40,NaN,NaN,0.00174248172238074,NaN,0.102136174203341
50,NaN,97.0908320317337,0.00216993363019325,6.97366931805176e-05,0.0324700513816184
55,9.14121202660475,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,4.46587972522015e-05,NaN
65,NaN,132.030989573133,NaN,NaN,-0.0109750252079478
75,5.91601301785385,NaN,NaN,2.40284895999259e-05,NaN
80,NaN,NaN,NaN,NaN,0.00899980484655272
85,NaN,122.004065092045,NaN,NaN,NaN
90,NaN,NaN,NaN,-1.72465357250886e-05,NaN
95,6.59216469307955,NaN,NaN,NaN,NaN
100,8.83970965587249,131.569917924595,NaN,-5.0337738132204e-06,-0.000329662192033797
150,8.00823626866176,118.154621952406,NaN,3.4854455638514e-05,NaN
200,7.83617262473677,104.580777153169,NaN,NaN,NaN
250,8.81612321925722,102.289465233709,NaN,NaN,NaN
300,11.2312482359495,95.0600586185994,NaN,NaN,NaN
400,15.0855686049368,105.383965683329,NaN,NaN,NaN
450,17.2609751556892,88.3869580228326,NaN,NaN,NaN
