t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,28.213193799638,36.2261996233646,-0.00167553426420734,0.000445607535415092,-0.264764619238023
8,NaN,NaN,NaN,NaN,0.465567064793632
8.5,NaN,52.9075985203617,NaN,NaN,NaN
10,15.8800458252571,NaN,NaN,0.000467708533277697,NaN
15,NaN,NaN,0.0457639036581918,NaN,0.971027343669727
20,12.975927984336,79.0889534816066,NaN,NaN,NaN
25,NaN,85.3513108077557,0.150321717920609,0.003060078976767,0.298744948063374
35,18.0447204469414,NaN,NaN,0.00583243738672309,2.2810093955908
40,NaN,52.7399294506218,0.478580881624907,NaN,NaN
45,31.4929365917994,NaN,NaN,NaN,5.8017356951278
50,NaN,40.0646966184291,NaN,0.0133958849700584,NaN
55,NaN,NaN,0.427317611013888,NaN,8.15647587039587
65,27.4749198746704,26.6573721461484,NaN,0.0130705121584931,NaN
70,NaN,NaN,NaN,NaN,7.42231616989957
75,NaN,NaN,0.0718494632511771,NaN,NaN
80,30.6468535188327,45.4796805796026,NaN,NaN,NaN
85,NaN,NaN,NaN,0.00500319565093958,3.51458264463705
95,NaN,NaN,0.0205740506899971,NaN,NaN
100,23.3169492587832,36.3370334168022,0.0157488880735502,0.00232819512329713,1.39347219358159
150,18.0003994941686,40.9210358308214,0.112584730025171,0.0033055951142645,NaN
