t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,27.3516835200148,32.3279771452809,-0.010606594967001,0.000314154137788126,0.242480089950124
8,NaN,93.8891769234909,NaN,NaN,NaN
8.5,7.40363155817377,NaN,NaN,NaN,NaN
10,NaN,NaN,-0.00665996951971657,NaN,1.05691895592491
15,NaN,130.68466493649,NaN,-0.00014624103943675,NaN
20,13.349821114284,NaN,0.332078208876482,NaN,NaN
25,NaN,68.7846204700732,NaN,NaN,2.24885798557521
30,20.0040212461715,NaN,NaN,0.0138273208928799,NaN
35,NaN,44.6406381268226,0.852697906315707,NaN,7.50600381768343
40,19.7719178220893,NaN,NaN,NaN,NaN
45,NaN,35.2352068695351,0.640695599938817,NaN,NaN
50,32.7626704749669,NaN,NaN,0.0255744195745781,15.3367976657522
60,NaN,46.0576377766833,0.257387510393646,NaN,NaN
65,23.9975476207458,NaN,NaN,NaN,9.3743252618899
70,NaN,NaN,NaN,0.0106657397231049,NaN
75,NaN,26.7120852784005,NaN,NaN,NaN
80,26.6287994739258,NaN,0.0297721351967316,NaN,NaN
85,NaN,NaN,NaN,NaN,2.95850936037004
90,NaN,27.7039662793234,NaN,NaN,NaN
95,NaN,NaN,NaN,0.000857338087775933,NaN
100,25.131401990515,44.2589893522001,0.00553483480877375,0.000247270799679182,0.926707205592853
150,NaN,NaN,0.0396498962316751,0.00165460530908253,0.124030089391186
