t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,25.4586105168679,59.4341926351201,0.00991885362510315,0.000391452890204118,0.2258369519992
5.5,NaN,NaN,NaN,NaN,0.223138332534996
6.5,NaN,NaN,0.0109145058178507,NaN,NaN
9.5,NaN,NaN,NaN,0.000382201932652716,NaN
10,NaN,NaN,NaN,NaN,0.218240012649741
15,8.16522139088846,106.123614874721,0.00783252067375222,NaN,0.21024994879487
20,NaN,NaN,0.00623071386573235,0.000334645665201691,0.205567218622469
30,5.38879968548158,NaN,0.00365905420168464,0.000212131672060183,0.174586660641896
35,NaN,114.996523443715,NaN,NaN,0.122884891689457
40,NaN,NaN,0.00120979395563277,0.0001561427733779,NaN
45,NaN,NaN,NaN,NaN,0.0842260308730665
50,4.7063861016614,128.42932546326,NaN,0.000113052998090607,0.0364575063769726
55,NaN,NaN,-0.000387554330105314,NaN,NaN
60,NaN,NaN,NaN,NaN,0.0330656919021389
65,6.86500770783301,NaN,NaN,2.78153871223153e-05,NaN
70,NaN,113.689539671825,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,-0.0130812711867649
80,NaN,NaN,NaN,2.66410489138114e-05,NaN
85,6.09071213997672,NaN,NaN,NaN,-0.00608137571940856
90,NaN,111.437562896621,NaN,NaN,NaN
100,6.86253247211461,104.237422372361,NaN,4.15563347924214e-05,0.00794565486956409
150,7.43192038693032,97.9968262135885,NaN,-2.70783102483979e-05,NaN
200,11.2199275276603,84.4348086557127,NaN,NaN,NaN
250,9.93772575051483,98.5608504341676,NaN,NaN,NaN
300,9.09856811711661,90.0065569168807,NaN,NaN,NaN
350,13.1799085143472,114.142085608491,NaN,NaN,NaN
400,12.5648584067199,NaN,NaN,NaN,NaN
450,17.776588679626,84.7812738320845,NaN,NaN,NaN
