t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,27.7781809092432,34.9676013476381,0.0296014083126707,2.68535477056881e-05,0.0400772413684597
10,21.9718402985777,59.6449472925508,NaN,NaN,0.482269217231402
15,NaN,NaN,0.0251594697330347,0.000790990633625178,NaN
20,19.0800456756473,68.7345989625361,NaN,NaN,0.248462758014517
30,NaN,69.3190651120802,0.150849262059674,0.00187027906644469,0.719321489404576
35,18.0011061619016,NaN,NaN,NaN,NaN
45,21.4176393873231,41.3666048414539,NaN,0.00658713510625285,2.77241077895201
50,NaN,NaN,0.265627089752199,NaN,NaN
60,NaN,46.6399068901395,NaN,NaN,5.1792518154664
65,25.9824880987119,NaN,NaN,0.00781311106814537,NaN
70,NaN,NaN,0.13126971091763,NaN,NaN
75,NaN,27.3853754263654,NaN,NaN,NaN
80,30.1583297758377,NaN,NaN,NaN,3.60603408977673
90,NaN,NaN,NaN,0.0032987084719338,NaN
95,NaN,41.1000868540016,0.0196031824734493,NaN,NaN
100,25.1350477683841,29.846245510588,0.030674549575069,0.00140767907910736,1.28111300178324
150,29.40122333386,NaN,0.0650734896934016,0.0016469595450133,0.762527639891112
