t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,22.636855011371,43.4795501886344,0.0220564915742152,-0.00108629923047419,0.644358813841808
8.5,20.0097864849703,NaN,NaN,NaN,NaN
10,NaN,92.3800822423379,0.0261979174306684,-0.000412529077349682,NaN
15,NaN,NaN,NaN,NaN,0.63406709792497
20,11.4835335544944,116.986943036974,0.160201117138482,NaN,NaN
25,NaN,NaN,NaN,0.00153700462840663,NaN
30,15.5639861853029,NaN,NaN,NaN,1.85517354627925
35,NaN,57.9914963918388,0.626541648181375,0.010205884668966,NaN
40,29.3276687080689,NaN,NaN,NaN,NaN
45,NaN,30.6817339968308,0.613134379315656,NaN,NaN
50,24.1242145873948,NaN,NaN,0.0202973089277078,10.3374584681521
65,27.2684107203191,25.9902248384275,0.190291349898035,0.0141599208954151,NaN
70,NaN,NaN,NaN,NaN,8.12028680173815
80,NaN,33.0677444330763,0.0470353275552568,NaN,NaN
85,29.127663181421,NaN,NaN,0.00473570783120202,NaN
90,NaN,NaN,NaN,NaN,2.28449613604281
100,32.0820936107765,25.9552783127383,0.0344338151069873,0.00130240005950277,0.752317804205728
150,NaN,45.0181452843064,0.00918200287329942,0.000938403641980605,0.0280485394809783
