t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,26.4162944831751,43.3161332462825,-0.0223753688379041,0.000758217565125175,0.847276051172306
7,NaN,62.6660650178599,NaN,NaN,NaN
8.5,13.2101856697643,NaN,NaN,NaN,NaN
9,NaN,NaN,0.00699644499976574,NaN,NaN
10,NaN,NaN,NaN,0.00132498317933495,0.427109883076624
15,NaN,96.0663426782896,NaN,NaN,NaN
20,9.80856065249741,NaN,0.134847424631489,NaN,0.448562328046726
25,18.0546354719275,100.079364682808,NaN,0.00395178635998485,NaN
30,NaN,82.4700097234787,0.49023607397269,NaN,NaN
35,NaN,NaN,NaN,0.00945756353745114,4.59833998216235
40,22.6634688475291,57.2060655276481,0.726276336450165,NaN,NaN
50,24.5638369986947,NaN,0.675198191755451,0.0231622864874351,12.3958921009587
55,NaN,41.8631318719593,NaN,NaN,NaN
65,27.7024657555258,27.7601014415121,0.259304220104267,NaN,11.5276218147076
70,NaN,NaN,NaN,0.0119622887630295,NaN
80,26.5284033525146,NaN,0.071263248221144,NaN,5.62187649966374
85,NaN,28.9658657862496,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00416816763142929,NaN
100,23.6942194830261,31.7713832825701,0.00668313623772578,0.00118895154099814,1.54589159587256
150,NaN,NaN,NaN,0.00219847344989395,1.38265087608519
