t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,24.0269520415515,41.1598295637155,0.0378439545935088,0.000131246823962526,0.200401367194009
9,NaN,82.4681048065532,NaN,NaN,NaN
10,NaN,NaN,-0.00392018903845559,0.00113462391929,-0.155415373715862
15,8.55658883231971,NaN,NaN,NaN,NaN
20,NaN,102.440954090838,0.133760912462272,NaN,-0.519272681342316
25,NaN,NaN,NaN,0.0032870809025187,NaN
30,13.2868604383987,83.6328167927469,0.541480585316779,NaN,NaN
35,NaN,NaN,NaN,0.0109667190104146,4.50860456412812
40,NaN,31.4449065136361,NaN,NaN,NaN
45,25.2017152241964,NaN,0.675516697193659,NaN,9.33595204595391
50,NaN,NaN,NaN,0.0200586737029482,NaN
55,NaN,34.7733595195527,NaN,NaN,NaN
60,NaN,NaN,0.323179985767727,NaN,11.9704276775305
65,26.0531956157919,NaN,NaN,0.0159072302218445,NaN
70,NaN,32.5038370742815,NaN,NaN,NaN
75,NaN,NaN,0.114378277814195,NaN,NaN
80,NaN,NaN,NaN,NaN,5.76972562775536
85,28.6252347741857,NaN,NaN,0.00427045911614806,NaN
90,NaN,34.1550514127762,0.0238143322464131,NaN,NaN
100,25.8925120944971,38.4448727484697,-0.00455921645041962,0.0013075356825023,1.48124952585112
150,23.6494770298587,NaN,0.0355311550105239,-0.00125114822482907,0.297496110997469
200,32.5046907576008,NaN,NaN,NaN,NaN
250,27.3733435075037,NaN,NaN,NaN,NaN
