t,input_ruxolitinib,nSTAT3_Obs,nSOCS3RNA4_Obs
17,0,33.7387944636894,0.0100760736071049
17,10,40.8962935926768,0.0114702577744613
17,50,27.1850664361026,0.0110196726740797
17,100,37.9981638351841,0.00740989980970902
17,200,30.0468440588398,0.00875381575970577
17,200,34.1225669138511,0.00991695261190693
17,200,37.9324478665531,0.010230829798831
17,200,38.2023579885813,0.00941847474895034
17,400,38.1710753022158,0.00901621562422658
17,500,37.3227084797407,0.00934200667408931
17,600,35.0899590358336,0.0094886229884488
17,600,35.854509003013,0.00991474035050192
17,800,42.3141966160432,0.0121915019104658
17,1000,39.5181379188726,0.0106959866306941
17,2000,39.1252741659071,0.00907362698341354
17,5000,29.7127249024399,0.0113961464641182
